"Step","prime-sweep-40 - test/rew_mean","prime-sweep-40 - test/rew_mean__MIN","prime-sweep-40 - test/rew_mean__MAX","earthy-sweep-39 - test/rew_mean","earthy-sweep-39 - test/rew_mean__MIN","earthy-sweep-39 - test/rew_mean__MAX","vague-sweep-38 - test/rew_mean","vague-sweep-38 - test/rew_mean__MIN","vague-sweep-38 - test/rew_mean__MAX","fresh-sweep-37 - test/rew_mean","fresh-sweep-37 - test/rew_mean__MIN","fresh-sweep-37 - test/rew_mean__MAX","dauntless-sweep-36 - test/rew_mean","dauntless-sweep-36 - test/rew_mean__MIN","dauntless-sweep-36 - test/rew_mean__MAX","worldly-sweep-35 - test/rew_mean","worldly-sweep-35 - test/rew_mean__MIN","worldly-sweep-35 - test/rew_mean__MAX","fresh-sweep-34 - test/rew_mean","fresh-sweep-34 - test/rew_mean__MIN","fresh-sweep-34 - test/rew_mean__MAX","dulcet-sweep-33 - test/rew_mean","dulcet-sweep-33 - test/rew_mean__MIN","dulcet-sweep-33 - test/rew_mean__MAX","swept-sweep-32 - test/rew_mean","swept-sweep-32 - test/rew_mean__MIN","swept-sweep-32 - test/rew_mean__MAX","rural-sweep-31 - test/rew_mean","rural-sweep-31 - test/rew_mean__MIN","rural-sweep-31 - test/rew_mean__MAX"
"0","2.6","2.6","2.6","1","1","1","2.25","2.25","2.25","2.1","2.1","2.1","1.5","1.5","1.5","2.35","2.35","2.35","2.25","2.25","2.25","4.15","4.15","4.15","1.5","1.5","1.5","1.75","1.75","1.75"
"2","1.65","1.65","1.65","3.9","3.9","3.9","3.5","3.5","3.5","2.9","2.9","2.9","1.8","1.8","1.8","1.75","1.75","1.75","2.8","2.8","2.8","3.3","3.3","3.3","2.8","2.8","2.8","2.2","2.2","2.2"
"4","3.95","3.95","3.95","2.95","2.95","2.95","3.35","3.35","3.35","5","5","5","3.85","3.85","3.85","3.45","3.45","3.45","2","2","2","2.2","2.2","2.2","2.7","2.7","2.7","1.9","1.9","1.9"
"6","4.4","4.4","4.4","1.6","1.6","1.6","2.95","2.95","2.95","4.7","4.7","4.7","5.15","5.15","5.15","5.45","5.45","5.45","4.05","4.05","4.05","4.9","4.9","4.9","4.7","4.7","4.7","1.4","1.4","1.4"
"8","2.55","2.55","2.55","2.35","2.35","2.35","4.7","4.7","4.7","4.25","4.25","4.25","4.2","4.2","4.2","4.7","4.7","4.7","2.75","2.75","2.75","4.7","4.7","4.7","3.65","3.65","3.65","1.8","1.8","1.8"
"10","2.55","2.55","2.55","4.25","4.25","4.25","4.6","4.6","4.6","4","4","4","4.65","4.65","4.65","4.05","4.05","4.05","2.4","2.4","2.4","5.15","5.15","5.15","2.45","2.45","2.45","3.05","3.05","3.05"
"12","3.8","3.8","3.8","2.45","2.45","2.45","5.1","5.1","5.1","4.6","4.6","4.6","3.15","3.15","3.15","3.05","3.05","3.05","2.55","2.55","2.55","5.5","5.5","5.5","2.25","2.25","2.25","5.25","5.25","5.25"
"14","3.85","3.85","3.85","5.65","5.65","5.65","2.75","2.75","2.75","4.85","4.85","4.85","2.45","2.45","2.45","3.45","3.45","3.45","2.15","2.15","2.15","5.55","5.55","5.55","2.1","2.1","2.1","5.65","5.65","5.65"
"16","4.15","4.15","4.15","3.75","3.75","3.75","2.85","2.85","2.85","5.95","5.95","5.95","3.4","3.4","3.4","4.8","4.8","4.8","6.15","6.15","6.15","5.75","5.75","5.75","2.8","2.8","2.8","5.4","5.4","5.4"
"18","2.8","2.8","2.8","4.2","4.2","4.2","3","3","3","6.15","6.15","6.15","4.05","4.05","4.05","4","4","4","3.25","3.25","3.25","4.5","4.5","4.5","2.45","2.45","2.45","5.6","5.6","5.6"
"20","3.95","3.95","3.95","3.9","3.9","3.9","4.35","4.35","4.35","4.3","4.3","4.3","5.9","5.9","5.9","5.6","5.6","5.6","3.95","3.95","3.95","3.35","3.35","3.35","4.1","4.1","4.1","6.95","6.95","6.95"
