"episode","gentle-sweep-90 - _step","gentle-sweep-90 - _step__MIN","gentle-sweep-90 - _step__MAX","gentle-sweep-90 - test/rew","gentle-sweep-90 - test/rew__MIN","gentle-sweep-90 - test/rew__MAX","jumping-sweep-89 - _step","jumping-sweep-89 - _step__MIN","jumping-sweep-89 - _step__MAX","jumping-sweep-89 - test/rew","jumping-sweep-89 - test/rew__MIN","jumping-sweep-89 - test/rew__MAX","graceful-sweep-88 - _step","graceful-sweep-88 - _step__MIN","graceful-sweep-88 - _step__MAX","graceful-sweep-88 - test/rew","graceful-sweep-88 - test/rew__MIN","graceful-sweep-88 - test/rew__MAX","likely-sweep-87 - _step","likely-sweep-87 - _step__MIN","likely-sweep-87 - _step__MAX","likely-sweep-87 - test/rew","likely-sweep-87 - test/rew__MIN","likely-sweep-87 - test/rew__MAX","valiant-sweep-86 - _step","valiant-sweep-86 - _step__MIN","valiant-sweep-86 - _step__MAX","valiant-sweep-86 - test/rew","valiant-sweep-86 - test/rew__MIN","valiant-sweep-86 - test/rew__MAX","restful-sweep-85 - _step","restful-sweep-85 - _step__MIN","restful-sweep-85 - _step__MAX","restful-sweep-85 - test/rew","restful-sweep-85 - test/rew__MIN","restful-sweep-85 - test/rew__MAX","mild-sweep-84 - _step","mild-sweep-84 - _step__MIN","mild-sweep-84 - _step__MAX","mild-sweep-84 - test/rew","mild-sweep-84 - test/rew__MIN","mild-sweep-84 - test/rew__MAX","dutiful-sweep-83 - _step","dutiful-sweep-83 - _step__MIN","dutiful-sweep-83 - _step__MAX","dutiful-sweep-83 - test/rew","dutiful-sweep-83 - test/rew__MIN","dutiful-sweep-83 - test/rew__MAX","hopeful-sweep-82 - _step","hopeful-sweep-82 - _step__MIN","hopeful-sweep-82 - _step__MAX","hopeful-sweep-82 - test/rew","hopeful-sweep-82 - test/rew__MIN","hopeful-sweep-82 - test/rew__MAX","stilted-sweep-81 - _step","stilted-sweep-81 - _step__MIN","stilted-sweep-81 - _step__MAX","stilted-sweep-81 - test/rew","stilted-sweep-81 - test/rew__MIN","stilted-sweep-81 - test/rew__MAX","youthful-sweep-80 - _step","youthful-sweep-80 - _step__MIN","youthful-sweep-80 - _step__MAX","youthful-sweep-80 - test/rew","youthful-sweep-80 - test/rew__MIN","youthful-sweep-80 - test/rew__MAX","polar-sweep-79 - _step","polar-sweep-79 - _step__MIN","polar-sweep-79 - _step__MAX","polar-sweep-79 - test/rew","polar-sweep-79 - test/rew__MIN","polar-sweep-79 - test/rew__MAX","fanciful-sweep-78 - _step","fanciful-sweep-78 - _step__MIN","fanciful-sweep-78 - _step__MAX","fanciful-sweep-78 - test/rew","fanciful-sweep-78 - test/rew__MIN","fanciful-sweep-78 - test/rew__MAX","exalted-sweep-77 - _step","exalted-sweep-77 - _step__MIN","exalted-sweep-77 - _step__MAX","exalted-sweep-77 - test/rew","exalted-sweep-77 - test/rew__MIN","exalted-sweep-77 - test/rew__MAX","rich-sweep-76 - _step","rich-sweep-76 - _step__MIN","rich-sweep-76 - _step__MAX","rich-sweep-76 - test/rew","rich-sweep-76 - test/rew__MIN","rich-sweep-76 - test/rew__MAX","graceful-sweep-75 - _step","graceful-sweep-75 - _step__MIN","graceful-sweep-75 - _step__MAX","graceful-sweep-75 - test/rew","graceful-sweep-75 - test/rew__MIN","graceful-sweep-75 - test/rew__MAX","dauntless-sweep-74 - _step","dauntless-sweep-74 - _step__MIN","dauntless-sweep-74 - _step__MAX","dauntless-sweep-74 - test/rew","dauntless-sweep-74 - test/rew__MIN","dauntless-sweep-74 - test/rew__MAX","expert-sweep-73 - _step","expert-sweep-73 - _step__MIN","expert-sweep-73 - _step__MAX","expert-sweep-73 - test/rew","expert-sweep-73 - test/rew__MIN","expert-sweep-73 - test/rew__MAX","copper-sweep-72 - _step","copper-sweep-72 - _step__MIN","copper-sweep-72 - _step__MAX","copper-sweep-72 - test/rew","copper-sweep-72 - test/rew__MIN","copper-sweep-72 - test/rew__MAX","dashing-sweep-71 - _step","dashing-sweep-71 - _step__MIN","dashing-sweep-71 - _step__MAX","dashing-sweep-71 - test/rew","dashing-sweep-71 - test/rew__MIN","dashing-sweep-71 - test/rew__MAX","summer-sweep-70 - _step","summer-sweep-70 - _step__MIN","summer-sweep-70 - _step__MAX","summer-sweep-70 - test/rew","summer-sweep-70 - test/rew__MIN","summer-sweep-70 - test/rew__MAX","warm-sweep-69 - _step","warm-sweep-69 - _step__MIN","warm-sweep-69 - _step__MAX","warm-sweep-69 - test/rew","warm-sweep-69 - test/rew__MIN","warm-sweep-69 - test/rew__MAX","earthy-sweep-68 - _step","earthy-sweep-68 - _step__MIN","earthy-sweep-68 - _step__MAX","earthy-sweep-68 - test/rew","earthy-sweep-68 - test/rew__MIN","earthy-sweep-68 - test/rew__MAX","polar-sweep-67 - _step","polar-sweep-67 - _step__MIN","polar-sweep-67 - _step__MAX","polar-sweep-67 - test/rew","polar-sweep-67 - test/rew__MIN","polar-sweep-67 - test/rew__MAX","zesty-sweep-66 - _step","zesty-sweep-66 - _step__MIN","zesty-sweep-66 - _step__MAX","zesty-sweep-66 - test/rew","zesty-sweep-66 - test/rew__MIN","zesty-sweep-66 - test/rew__MAX","likely-sweep-65 - _step","likely-sweep-65 - _step__MIN","likely-sweep-65 - _step__MAX","likely-sweep-65 - test/rew","likely-sweep-65 - test/rew__MIN","likely-sweep-65 - test/rew__MAX","eager-sweep-64 - _step","eager-sweep-64 - _step__MIN","eager-sweep-64 - _step__MAX","eager-sweep-64 - test/rew","eager-sweep-64 - test/rew__MIN","eager-sweep-64 - test/rew__MAX","sandy-sweep-63 - _step","sandy-sweep-63 - _step__MIN","sandy-sweep-63 - _step__MAX","sandy-sweep-63 - test/rew","sandy-sweep-63 - test/rew__MIN","sandy-sweep-63 - test/rew__MAX","noble-sweep-62 - _step","noble-sweep-62 - _step__MIN","noble-sweep-62 - _step__MAX","noble-sweep-62 - test/rew","noble-sweep-62 - test/rew__MIN","noble-sweep-62 - test/rew__MAX","gallant-sweep-61 - _step","gallant-sweep-61 - _step__MIN","gallant-sweep-61 - _step__MAX","gallant-sweep-61 - test/rew","gallant-sweep-61 - test/rew__MIN","gallant-sweep-61 - test/rew__MAX"
"5","0","0","0","2.6","2.6","2.6","0","0","0","1.6","1.6","1.6","0","0","0","4.6","4.6","4.6","0","0","0","3.2","3.2","3.2","0","0","0","1.4","1.4","1.4","0","0","0","3","3","3","0","0","0","0.6","0.6","0.6","0","0","0","1.6","1.6","1.6","0","0","0","4","4","4","0","0","0","3.6","3.6","3.6","0","0","0","3.6","3.6","3.6","0","0","0","4.4","4.4","4.4","0","0","0","1.6","1.6","1.6","0","0","0","1.2","1.2","1.2","0","0","0","1.6","1.6","1.6","0","0","0","6.6","6.6","6.6","0","0","0","1.2","1.2","1.2","0","0","0","2","2","2","0","0","0","2.4","2.4","2.4","0","0","0","2.2","2.2","2.2","0","0","0","5","5","5","0","0","0","5.2","5.2","5.2","0","0","0","0.6","0.6","0.6","0","0","0","1.4","1.4","1.4","0","0","0","1","1","1","0","0","0","3.4","3.4","3.4","0","0","0","1.2","1.2","1.2","0","0","0","0.6","0.6","0.6","0","0","0","5.2","5.2","5.2","0","0","0","0.6","0.6","0.6"
"10","1","1","1","4","4","4","1","1","1","5.8","5.8","5.8","1","1","1","4.2","4.2","4.2","1","1","1","4.6","4.6","4.6","1","1","1","6.4","6.4","6.4","1","1","1","5.2","5.2","5.2","1","1","1","3.2","3.2","3.2","1","1","1","5.2","5.2","5.2","1","1","1","8.8","8.8","8.8","1","1","1","5","5","5","1","1","1","4.8","4.8","4.8","1","1","1","3.8","3.8","3.8","1","1","1","0","0","0","1","1","1","2.6","2.6","2.6","1","1","1","5.8","5.8","5.8","1","1","1","7.2","7.2","7.2","1","1","1","2.6","2.6","2.6","1","1","1","3.8","3.8","3.8","1","1","1","3.2","3.2","3.2","1","1","1","3.8","3.8","3.8","1","1","1","9","9","9","1","1","1","4","4","4","1","1","1","1.4","1.4","1.4","1","1","1","3.6","3.6","3.6","1","1","1","4.2","4.2","4.2","1","1","1","5.2","5.2","5.2","1","1","1","6.8","6.8","6.8","1","1","1","3.8","3.8","3.8","1","1","1","4","4","4","1","1","1","1.4","1.4","1.4"
"15","2","2","2","7.6","7.6","7.6","2","2","2","8.6","8.6","8.6","2","2","2","7.6","7.6","7.6","2","2","2","5.8","5.8","5.8","2","2","2","6","6","6","2","2","2","4.6","4.6","4.6","2","2","2","4.6","4.6","4.6","2","2","2","5","5","5","2","2","2","2.4","2.4","2.4","2","2","2","7","7","7","2","2","2","7.2","7.2","7.2","2","2","2","6.8","6.8","6.8","2","2","2","2.4","2.4","2.4","2","2","2","5.4","5.4","5.4","2","2","2","6","6","6","2","2","2","9.6","9.6","9.6","2","2","2","7","7","7","2","2","2","7.2","7.2","7.2","2","2","2","4.2","4.2","4.2","2","2","2","7.6","7.6","7.6","2","2","2","8.6","8.6","8.6","2","2","2","5.2","5.2","5.2","2","2","2","6.2","6.2","6.2","2","2","2","6","6","6","2","2","2","5.6","5.6","5.6","2","2","2","6.6","6.6","6.6","2","2","2","6","6","6","2","2","2","5","5","5","2","2","2","7.2","7.2","7.2","2","2","2","2.4","2.4","2.4"
"20","3","3","3","10.6","10.6","10.6","3","3","3","10","10","10","3","3","3","12","12","12","3","3","3","7","7","7","3","3","3","8.4","8.4","8.4","3","3","3","5.4","5.4","5.4","3","3","3","9.4","9.4","9.4","3","3","3","10.6","10.6","10.6","3","3","3","9.2","9.2","9.2","3","3","3","3.2","3.2","3.2","3","3","3","6.6","6.6","6.6","3","3","3","12.4","12.4","12.4","3","3","3","3.6","3.6","3.6","3","3","3","1.8","1.8","1.8","3","3","3","8.2","8.2","8.2","3","3","3","8","8","8","3","3","3","3.2","3.2","3.2","3","3","3","1","1","1","3","3","3","8.4","8.4","8.4","3","3","3","5.8","5.8","5.8","3","3","3","6.6","6.6","6.6","3","3","3","8.2","8.2","8.2","3","3","3","10.8","10.8","10.8","3","3","3","7.6","7.6","7.6","3","3","3","8.8","8.8","8.8","3","3","3","9.2","9.2","9.2","3","3","3","6.4","6.4","6.4","3","3","3","3.8","3.8","3.8","3","3","3","10","10","10","3","3","3","7.4","7.4","7.4"
"25","4","4","4","4.6","4.6","4.6","4","4","4","9.8","9.8","9.8","4","4","4","13.4","13.4","13.4","4","4","4","7.8","7.8","7.8","4","4","4","10.2","10.2","10.2","4","4","4","4.8","4.8","4.8","4","4","4","9.4","9.4","9.4","4","4","4","9.8","9.8","9.8","4","4","4","9.8","9.8","9.8","4","4","4","6.8","6.8","6.8","4","4","4","5.4","5.4","5.4","4","4","4","12.2","12.2","12.2","4","4","4","3","3","3","4","4","4","7.6","7.6","7.6","4","4","4","11.2","11.2","11.2","4","4","4","8.6","8.6","8.6","4","4","4","5.2","5.2","5.2","4","4","4","9.2","9.2","9.2","4","4","4","9.4","9.4","9.4","4","4","4","10","10","10","4","4","4","12.4","12.4","12.4","4","4","4","9.8","9.8","9.8","4","4","4","13","13","13","4","4","4","9.2","9.2","9.2","4","4","4","11.6","11.6","11.6","4","4","4","12.8","12.8","12.8","4","4","4","7","7","7","4","4","4","6.2","6.2","6.2","4","4","4","10.2","10.2","10.2","4","4","4","8.8","8.8","8.8"
"30","5","5","5","6.4","6.4","6.4","5","5","5","12.8","12.8","12.8","5","5","5","11.2","11.2","11.2","5","5","5","8","8","8","5","5","5","10.8","10.8","10.8","5","5","5","5.4","5.4","5.4","5","5","5","12.6","12.6","12.6","5","5","5","10.2","10.2","10.2","5","5","5","8.8","8.8","8.8","5","5","5","10.6","10.6","10.6","5","5","5","8.8","8.8","8.8","5","5","5","13","13","13","5","5","5","6.4","6.4","6.4","5","5","5","10","10","10","5","5","5","11.6","11.6","11.6","5","5","5","8.2","8.2","8.2","5","5","5","6","6","6","5","5","5","8.6","8.6","8.6","5","5","5","10.4","10.4","10.4","5","5","5","7.8","7.8","7.8","5","5","5","4.8","4.8","4.8","5","5","5","8.6","8.6","8.6","5","5","5","9.4","9.4","9.4","5","5","5","14.4","14.4","14.4","5","5","5","8.8","8.8","8.8","5","5","5","12.4","12.4","12.4","5","5","5","3.2","3.2","3.2","5","5","5","9.4","9.4","9.4","5","5","5","6.4","6.4","6.4","5","5","5","7.4","7.4","7.4"
"35","6","6","6","11.6","11.6","11.6","6","6","6","11.4","11.4","11.4","6","6","6","12","12","12","6","6","6","8.4","8.4","8.4","6","6","6","6.8","6.8","6.8","6","6","6","5.8","5.8","5.8","6","6","6","13.6","13.6","13.6","6","6","6","14.4","14.4","14.4","6","6","6","10.6","10.6","10.6","6","6","6","9","9","9","6","6","6","12.4","12.4","12.4","6","6","6","11.2","11.2","11.2","6","6","6","11","11","11","6","6","6","6.4","6.4","6.4","6","6","6","6.4","6.4","6.4","6","6","6","8.4","8.4","8.4","6","6","6","8.6","8.6","8.6","6","6","6","9.2","9.2","9.2","6","6","6","13.6","13.6","13.6","6","6","6","11.2","11.2","11.2","6","6","6","12.4","12.4","12.4","6","6","6","12.6","12.6","12.6","6","6","6","9.4","9.4","9.4","6","6","6","13.2","13.2","13.2","6","6","6","11.4","11.4","11.4","6","6","6","12.4","12.4","12.4","6","6","6","8","8","8","6","6","6","4.2","4.2","4.2","6","6","6","8.4","8.4","8.4","6","6","6","7.4","7.4","7.4"
"40","7","7","7","12.4","12.4","12.4","7","7","7","13.4","13.4","13.4","7","7","7","14.6","14.6","14.6","7","7","7","8.2","8.2","8.2","7","7","7","12","12","12","7","7","7","9.4","9.4","9.4","7","7","7","6.8","6.8","6.8","7","7","7","14.4","14.4","14.4","7","7","7","9.6","9.6","9.6","7","7","7","8","8","8","7","7","7","13","13","13","7","7","7","5.4","5.4","5.4","7","7","7","9.6","9.6","9.6","7","7","7","7.4","7.4","7.4","7","7","7","10","10","10","7","7","7","12.6","12.6","12.6","7","7","7","9.2","9.2","9.2","7","7","7","13.8","13.8","13.8","7","7","7","12.4","12.4","12.4","7","7","7","13.2","13.2","13.2","7","7","7","6.4","6.4","6.4","7","7","7","13.6","13.6","13.6","7","7","7","11.8","11.8","11.8","7","7","7","16.4","16.4","16.4","7","7","7","12.2","12.2","12.2","7","7","7","10.8","10.8","10.8","7","7","7","6.2","6.2","6.2","7","7","7","9","9","9","7","7","7","13.6","13.6","13.6","7","7","7","10.2","10.2","10.2"
"45","8","8","8","9.6","9.6","9.6","8","8","8","15.8","15.8","15.8","8","8","8","11.4","11.4","11.4","8","8","8","7","7","7","8","8","8","9.8","9.8","9.8","8","8","8","12.4","12.4","12.4","8","8","8","10.4","10.4","10.4","8","8","8","12.6","12.6","12.6","8","8","8","9.8","9.8","9.8","8","8","8","6.4","6.4","6.4","8","8","8","13.6","13.6","13.6","8","8","8","13.2","13.2","13.2","8","8","8","7","7","7","8","8","8","9","9","9","8","8","8","7.8","7.8","7.8","8","8","8","11.8","11.8","11.8","8","8","8","8.4","8.4","8.4","8","8","8","12.8","12.8","12.8","8","8","8","15.2","15.2","15.2","8","8","8","12","12","12","8","8","8","11","11","11","8","8","8","9.6","9.6","9.6","8","8","8","14.8","14.8","14.8","8","8","8","15.8","15.8","15.8","8","8","8","10.2","10.2","10.2","8","8","8","12.6","12.6","12.6","8","8","8","8","8","8","8","8","8","12.8","12.8","12.8","8","8","8","2.6","2.6","2.6","8","8","8","9.8","9.8","9.8"
"50","9","9","9","8.6","8.6","8.6","9","9","9","10.6","10.6","10.6","9","9","9","13","13","13","9","9","9","10.6","10.6","10.6","9","9","9","12.4","12.4","12.4","9","9","9","15.4","15.4","15.4","9","9","9","14.4","14.4","14.4","9","9","9","9.6","9.6","9.6","9","9","9","13.4","13.4","13.4","9","9","9","15","15","15","9","9","9","12.4","12.4","12.4","9","9","9","9.6","9.6","9.6","9","9","9","10","10","10","9","9","9","14","14","14","9","9","9","10.8","10.8","10.8","9","9","9","9.6","9.6","9.6","9","9","9","13.8","13.8","13.8","9","9","9","9.6","9.6","9.6","9","9","9","12.6","12.6","12.6","9","9","9","13","13","13","9","9","9","8.4","8.4","8.4","9","9","9","12","12","12","9","9","9","8.8","8.8","8.8","9","9","9","12.6","12.6","12.6","9","9","9","13.4","13.4","13.4","9","9","9","10","10","10","9","9","9","8","8","8","9","9","9","10.8","10.8","10.8","9","9","9","6.2","6.2","6.2","9","9","9","11","11","11"
