"Step","morning-sweep-60 - test/rew_mean","morning-sweep-60 - test/rew_mean__MIN","morning-sweep-60 - test/rew_mean__MAX","rural-sweep-59 - test/rew_mean","rural-sweep-59 - test/rew_mean__MIN","rural-sweep-59 - test/rew_mean__MAX","misty-sweep-58 - test/rew_mean","misty-sweep-58 - test/rew_mean__MIN","misty-sweep-58 - test/rew_mean__MAX","ethereal-sweep-57 - test/rew_mean","ethereal-sweep-57 - test/rew_mean__MIN","ethereal-sweep-57 - test/rew_mean__MAX","soft-sweep-56 - test/rew_mean","soft-sweep-56 - test/rew_mean__MIN","soft-sweep-56 - test/rew_mean__MAX","resilient-sweep-55 - test/rew_mean","resilient-sweep-55 - test/rew_mean__MIN","resilient-sweep-55 - test/rew_mean__MAX","restful-sweep-54 - test/rew_mean","restful-sweep-54 - test/rew_mean__MIN","restful-sweep-54 - test/rew_mean__MAX","treasured-sweep-53 - test/rew_mean","treasured-sweep-53 - test/rew_mean__MIN","treasured-sweep-53 - test/rew_mean__MAX","magic-sweep-52 - test/rew_mean","magic-sweep-52 - test/rew_mean__MIN","magic-sweep-52 - test/rew_mean__MAX","polished-sweep-51 - test/rew_mean","polished-sweep-51 - test/rew_mean__MIN","polished-sweep-51 - test/rew_mean__MAX","youthful-sweep-50 - test/rew_mean","youthful-sweep-50 - test/rew_mean__MIN","youthful-sweep-50 - test/rew_mean__MAX","floral-sweep-49 - test/rew_mean","floral-sweep-49 - test/rew_mean__MIN","floral-sweep-49 - test/rew_mean__MAX","vivid-sweep-48 - test/rew_mean","vivid-sweep-48 - test/rew_mean__MIN","vivid-sweep-48 - test/rew_mean__MAX","serene-sweep-47 - test/rew_mean","serene-sweep-47 - test/rew_mean__MIN","serene-sweep-47 - test/rew_mean__MAX","smooth-sweep-46 - test/rew_mean","smooth-sweep-46 - test/rew_mean__MIN","smooth-sweep-46 - test/rew_mean__MAX","fallen-sweep-45 - test/rew_mean","fallen-sweep-45 - test/rew_mean__MIN","fallen-sweep-45 - test/rew_mean__MAX","visionary-sweep-44 - test/rew_mean","visionary-sweep-44 - test/rew_mean__MIN","visionary-sweep-44 - test/rew_mean__MAX","summer-sweep-43 - test/rew_mean","summer-sweep-43 - test/rew_mean__MIN","summer-sweep-43 - test/rew_mean__MAX","bright-sweep-42 - test/rew_mean","bright-sweep-42 - test/rew_mean__MIN","bright-sweep-42 - test/rew_mean__MAX","rosy-sweep-41 - test/rew_mean","rosy-sweep-41 - test/rew_mean__MIN","rosy-sweep-41 - test/rew_mean__MAX","ancient-sweep-40 - test/rew_mean","ancient-sweep-40 - test/rew_mean__MIN","ancient-sweep-40 - test/rew_mean__MAX","icy-sweep-39 - test/rew_mean","icy-sweep-39 - test/rew_mean__MIN","icy-sweep-39 - test/rew_mean__MAX","proud-sweep-38 - test/rew_mean","proud-sweep-38 - test/rew_mean__MIN","proud-sweep-38 - test/rew_mean__MAX","stoic-sweep-37 - test/rew_mean","stoic-sweep-37 - test/rew_mean__MIN","stoic-sweep-37 - test/rew_mean__MAX","dauntless-sweep-36 - test/rew_mean","dauntless-sweep-36 - test/rew_mean__MIN","dauntless-sweep-36 - test/rew_mean__MAX","worthy-sweep-35 - test/rew_mean","worthy-sweep-35 - test/rew_mean__MIN","worthy-sweep-35 - test/rew_mean__MAX","scarlet-sweep-34 - test/rew_mean","scarlet-sweep-34 - test/rew_mean__MIN","scarlet-sweep-34 - test/rew_mean__MAX","comic-sweep-33 - test/rew_mean","comic-sweep-33 - test/rew_mean__MIN","comic-sweep-33 - test/rew_mean__MAX","fresh-sweep-32 - test/rew_mean","fresh-sweep-32 - test/rew_mean__MIN","fresh-sweep-32 - test/rew_mean__MAX","absurd-sweep-31 - test/rew_mean","absurd-sweep-31 - test/rew_mean__MIN","absurd-sweep-31 - test/rew_mean__MAX"
"0","2.05","2.05","2.05","2","2","2","2.9","2.9","2.9","2.6","2.6","2.6","2.1","2.1","2.1","1.8","1.8","1.8","2.2","2.2","2.2","1.6","1.6","1.6","3.2","3.2","3.2","2.9","2.9","2.9","1.8","1.8","1.8","2.1","2.1","2.1","1.7","1.7","1.7","0.9","0.9","0.9","1.7","1.7","1.7","2.8","2.8","2.8","2.45","2.45","2.45","3.15","3.15","3.15","2.2","2.2","2.2","1.95","1.95","1.95","2.05","2.05","2.05","2.05","2.05","2.05","2.85","2.85","2.85","1.75","1.75","1.75","3.4","3.4","3.4","2.35","2.35","2.35","3.15","3.15","3.15","2.7","2.7","2.7","1.55","1.55","1.55","2.45","2.45","2.45"
"2","2.2","2.2","2.2","2.6","2.6","2.6","3.3","3.3","3.3","3","3","3","1.65","1.65","1.65","4.35","4.35","4.35","2.3","2.3","2.3","3.05","3.05","3.05","3.15","3.15","3.15","3.1","3.1","3.1","2.65","2.65","2.65","2.65","2.65","2.65","3.05","3.05","3.05","2.4","2.4","2.4","2.65","2.65","2.65","3.55","3.55","3.55","3.2","3.2","3.2","3.2","3.2","3.2","3.1","3.1","3.1","3.15","3.15","3.15","2.6","2.6","2.6","2.65","2.65","2.65","1.75","1.75","1.75","1.95","1.95","1.95","1.8","1.8","1.8","4","4","4","2","2","2","3.15","3.15","3.15","3.3","3.3","3.3","2.6","2.6","2.6"
"4","1.9","1.9","1.9","3","3","3","2.65","2.65","2.65","3.9","3.9","3.9","2.6","2.6","2.6","3.35","3.35","3.35","3.3","3.3","3.3","3.45","3.45","3.45","3.45","3.45","3.45","3.55","3.55","3.55","2.1","2.1","2.1","5.25","5.25","5.25","2.7","2.7","2.7","7.7","7.7","7.7","3.05","3.05","3.05","1.65","1.65","1.65","1.85","1.85","1.85","2.95","2.95","2.95","4.3","4.3","4.3","2.2","2.2","2.2","2.8","2.8","2.8","3.3","3.3","3.3","1.8","1.8","1.8","3.5","3.5","3.5","3.3","3.3","3.3","2.25","2.25","2.25","2.35","2.35","2.35","1.75","1.75","1.75","2","2","2","3.85","3.85","3.85"
"6","2.95","2.95","2.95","5.75","5.75","5.75","8.35","8.35","8.35","2.75","2.75","2.75","7.85","7.85","7.85","4.9","4.9","4.9","3.3","3.3","3.3","8.75","8.75","8.75","2.45","2.45","2.45","2.6","2.6","2.6","9.6","9.6","9.6","2.9","2.9","2.9","13.55","13.55","13.55","11.95","11.95","11.95","5.4","5.4","5.4","2.85","2.85","2.85","4.25","4.25","4.25","5.05","5.05","5.05","10.95","10.95","10.95","10.45","10.45","10.45","3.2","3.2","3.2","2.15","2.15","2.15","4.6","4.6","4.6","8.1","8.1","8.1","2.6","2.6","2.6","3.5","3.5","3.5","3.3","3.3","3.3","2.65","2.65","2.65","2.4","2.4","2.4","8.1","8.1","8.1"
"8","6.1","6.1","6.1","10.4","10.4","10.4","15.15","15.15","15.15","7.1","7.1","7.1","8.35","8.35","8.35","10.7","10.7","10.7","7.95","7.95","7.95","15.25","15.25","15.25","7.4","7.4","7.4","4.45","4.45","4.45","13.2","13.2","13.2","8.3","8.3","8.3","17.8","17.8","17.8","9.75","9.75","9.75","12.7","12.7","12.7","3.1","3.1","3.1","6.6","6.6","6.6","10.5","10.5","10.5","14.5","14.5","14.5","8.35","8.35","8.35","6.55","6.55","6.55","6.7","6.7","6.7","10.35","10.35","10.35","10.55","10.55","10.55","4.8","4.8","4.8","11.15","11.15","11.15","2.65","2.65","2.65","4.4","4.4","4.4","7.65","7.65","7.65","16.2","16.2","16.2"
"10","11.5","11.5","11.5","12.2","12.2","12.2","17.7","17.7","17.7","11.45","11.45","11.45","16.8","16.8","16.8","16.75","16.75","16.75","14.9","14.9","14.9","15.7","15.7","15.7","12.7","12.7","12.7","6.55","6.55","6.55","14.7","14.7","14.7","12.2","12.2","12.2","17.9","17.9","17.9","14.2","14.2","14.2","16.85","16.85","16.85","7.7","7.7","7.7","7.65","7.65","7.65","9.8","9.8","9.8","11.8","11.8","11.8","13.25","13.25","13.25","10.05","10.05","10.05","16.15","16.15","16.15","19.35","19.35","19.35","11.7","11.7","11.7","5.25","5.25","5.25","18.4","18.4","18.4","8.7","8.7","8.7","9","9","9","17.3","17.3","17.3","14.4","14.4","14.4"
"12","17.5","17.5","17.5","15.85","15.85","15.85","20.25","20.25","20.25","15.95","15.95","15.95","16.4","16.4","16.4","13.8","13.8","13.8","20","20","20","18.35","18.35","18.35","17","17","17","11.45","11.45","11.45","13.4","13.4","13.4","15.95","15.95","15.95","21.25","21.25","21.25","19.1","19.1","19.1","19.95","19.95","19.95","8.95","8.95","8.95","9.9","9.9","9.9","12","12","12","10.5","10.5","10.5","14.25","14.25","14.25","13.6","13.6","13.6","20.6","20.6","20.6","16.95","16.95","16.95","10.5","10.5","10.5","6.5","6.5","6.5","21.3","21.3","21.3","14.65","14.65","14.65","12.4","12.4","12.4","14.75","14.75","14.75","20.5","20.5","20.5"
"14","19","19","19","15.6","15.6","15.6","20","20","20","11.9","11.9","11.9","17.4","17.4","17.4","20.45","20.45","20.45","18.95","18.95","18.95","18.4","18.4","18.4","14.45","14.45","14.45","10.35","10.35","10.35","10.95","10.95","10.95","18.15","18.15","18.15","22.2","22.2","22.2","19.8","19.8","19.8","16.2","16.2","16.2","9.95","9.95","9.95","9.7","9.7","9.7","12.2","12.2","12.2","18","18","18","12.25","12.25","12.25","13.05","13.05","13.05","19.2","19.2","19.2","19.9","19.9","19.9","11.6","11.6","11.6","6.55","6.55","6.55","17.1","17.1","17.1","12.35","12.35","12.35","14.8","14.8","14.8","16.3","16.3","16.3","21.3","21.3","21.3"
"16","18.5","18.5","18.5","12.35","12.35","12.35","19.5","19.5","19.5","19.35","19.35","19.35","14.65","14.65","14.65","17.6","17.6","17.6","21.15","21.15","21.15","16.85","16.85","16.85","19.9","19.9","19.9","17.05","17.05","17.05","20.55","20.55","20.55","19","19","19","19.65","19.65","19.65","17.4","17.4","17.4","16.8","16.8","16.8","15.65","15.65","15.65","14.75","14.75","14.75","14.25","14.25","14.25","16","16","16","16.3","16.3","16.3","13.9","13.9","13.9","17.5","17.5","17.5","16.7","16.7","16.7","11.95","11.95","11.95","5.6","5.6","5.6","19","19","19","14.25","14.25","14.25","13.7","13.7","13.7","18.05","18.05","18.05","19.8","19.8","19.8"
"18","16.15","16.15","16.15","10.5","10.5","10.5","19.1","19.1","19.1","20.85","20.85","20.85","17.8","17.8","17.8","18.5","18.5","18.5","17.5","17.5","17.5","19.7","19.7","19.7","19.6","19.6","19.6","15.65","15.65","15.65","19.8","19.8","19.8","16.4","16.4","16.4","21","21","21","19.95","19.95","19.95","19.85","19.85","19.85","18.05","18.05","18.05","7.5","7.5","7.5","12.8","12.8","12.8","17.45","17.45","17.45","13.95","13.95","13.95","14.9","14.9","14.9","21.35","21.35","21.35","18","18","18","9.7","9.7","9.7","6.55","6.55","6.55","18.7","18.7","18.7","10.05","10.05","10.05","13.05","13.05","13.05","17.5","17.5","17.5","21.5","21.5","21.5"
