"Step","ethereal-sweep-150 - test/rew_mean","ethereal-sweep-150 - test/rew_mean__MIN","ethereal-sweep-150 - test/rew_mean__MAX","summer-sweep-149 - test/rew_mean","summer-sweep-149 - test/rew_mean__MIN","summer-sweep-149 - test/rew_mean__MAX","elated-sweep-148 - test/rew_mean","elated-sweep-148 - test/rew_mean__MIN","elated-sweep-148 - test/rew_mean__MAX","unique-sweep-147 - test/rew_mean","unique-sweep-147 - test/rew_mean__MIN","unique-sweep-147 - test/rew_mean__MAX","hardy-sweep-146 - test/rew_mean","hardy-sweep-146 - test/rew_mean__MIN","hardy-sweep-146 - test/rew_mean__MAX","glad-sweep-145 - test/rew_mean","glad-sweep-145 - test/rew_mean__MIN","glad-sweep-145 - test/rew_mean__MAX","chocolate-sweep-144 - test/rew_mean","chocolate-sweep-144 - test/rew_mean__MIN","chocolate-sweep-144 - test/rew_mean__MAX","hopeful-sweep-143 - test/rew_mean","hopeful-sweep-143 - test/rew_mean__MIN","hopeful-sweep-143 - test/rew_mean__MAX","hardy-sweep-142 - test/rew_mean","hardy-sweep-142 - test/rew_mean__MIN","hardy-sweep-142 - test/rew_mean__MAX","feasible-sweep-141 - test/rew_mean","feasible-sweep-141 - test/rew_mean__MIN","feasible-sweep-141 - test/rew_mean__MAX","ruby-sweep-140 - test/rew_mean","ruby-sweep-140 - test/rew_mean__MIN","ruby-sweep-140 - test/rew_mean__MAX","eager-sweep-139 - test/rew_mean","eager-sweep-139 - test/rew_mean__MIN","eager-sweep-139 - test/rew_mean__MAX","lemon-sweep-138 - test/rew_mean","lemon-sweep-138 - test/rew_mean__MIN","lemon-sweep-138 - test/rew_mean__MAX","dandy-sweep-137 - test/rew_mean","dandy-sweep-137 - test/rew_mean__MIN","dandy-sweep-137 - test/rew_mean__MAX","youthful-sweep-136 - test/rew_mean","youthful-sweep-136 - test/rew_mean__MIN","youthful-sweep-136 - test/rew_mean__MAX","woven-sweep-135 - test/rew_mean","woven-sweep-135 - test/rew_mean__MIN","woven-sweep-135 - test/rew_mean__MAX","comic-sweep-134 - test/rew_mean","comic-sweep-134 - test/rew_mean__MIN","comic-sweep-134 - test/rew_mean__MAX","giddy-sweep-133 - test/rew_mean","giddy-sweep-133 - test/rew_mean__MIN","giddy-sweep-133 - test/rew_mean__MAX","iconic-sweep-132 - test/rew_mean","iconic-sweep-132 - test/rew_mean__MIN","iconic-sweep-132 - test/rew_mean__MAX","chocolate-sweep-131 - test/rew_mean","chocolate-sweep-131 - test/rew_mean__MIN","chocolate-sweep-131 - test/rew_mean__MAX","peachy-sweep-130 - test/rew_mean","peachy-sweep-130 - test/rew_mean__MIN","peachy-sweep-130 - test/rew_mean__MAX","unique-sweep-129 - test/rew_mean","unique-sweep-129 - test/rew_mean__MIN","unique-sweep-129 - test/rew_mean__MAX","distinctive-sweep-128 - test/rew_mean","distinctive-sweep-128 - test/rew_mean__MIN","distinctive-sweep-128 - test/rew_mean__MAX","dutiful-sweep-127 - test/rew_mean","dutiful-sweep-127 - test/rew_mean__MIN","dutiful-sweep-127 - test/rew_mean__MAX","usual-sweep-126 - test/rew_mean","usual-sweep-126 - test/rew_mean__MIN","usual-sweep-126 - test/rew_mean__MAX","snowy-sweep-125 - test/rew_mean","snowy-sweep-125 - test/rew_mean__MIN","snowy-sweep-125 - test/rew_mean__MAX","grateful-sweep-124 - test/rew_mean","grateful-sweep-124 - test/rew_mean__MIN","grateful-sweep-124 - test/rew_mean__MAX","decent-sweep-123 - test/rew_mean","decent-sweep-123 - test/rew_mean__MIN","decent-sweep-123 - test/rew_mean__MAX","honest-sweep-122 - test/rew_mean","honest-sweep-122 - test/rew_mean__MIN","honest-sweep-122 - test/rew_mean__MAX","revived-sweep-121 - test/rew_mean","revived-sweep-121 - test/rew_mean__MIN","revived-sweep-121 - test/rew_mean__MAX"
"0","1.2","1.2","1.2","1.95","1.95","1.95","2.25","2.25","2.25","1.7","1.7","1.7","2.15","2.15","2.15","1.9","1.9","1.9","1.1","1.1","1.1","3.15","3.15","3.15","3.1","3.1","3.1","2.15","2.15","2.15","2.2","2.2","2.2","1.45","1.45","1.45","1.7","1.7","1.7","1.35","1.35","1.35","1.55","1.55","1.55","3","3","3","1.65","1.65","1.65","3.2","3.2","3.2","2.35","2.35","2.35","2","2","2","0.9","0.9","0.9","1.75","1.75","1.75","1.75","1.75","1.75","1.5","1.5","1.5","1.6","1.6","1.6","2.4","2.4","2.4","2.55","2.55","2.55","2.8","2.8","2.8","1.8","1.8","1.8","2.4","2.4","2.4"
"2","9.65","9.65","9.65","5.35","5.35","5.35","2.75","2.75","2.75","8.8","8.8","8.8","4.15","4.15","4.15","5.45","5.45","5.45","8.1","8.1","8.1","8","8","8","7.25","7.25","7.25","5.9","5.9","5.9","7.55","7.55","7.55","8.55","8.55","8.55","8.5","8.5","8.5","8.35","8.35","8.35","3.3","3.3","3.3","8.45","8.45","8.45","4","4","4","5.3","5.3","5.3","7.9","7.9","7.9","7.65","7.65","7.65","5.8","5.8","5.8","7","7","7","6.15","6.15","6.15","5.3","5.3","5.3","5","5","5","8.45","8.45","8.45","5.05","5.05","5.05","4.45","4.45","4.45","8.25","8.25","8.25","4.15","4.15","4.15"
"4","10.5","10.5","10.5","5.1","5.1","5.1","6.9","6.9","6.9","9.55","9.55","9.55","9.4","9.4","9.4","11.45","11.45","11.45","9.95","9.95","9.95","10.25","10.25","10.25","10.65","10.65","10.65","7.45","7.45","7.45","12.45","12.45","12.45","14.8","14.8","14.8","12.1","12.1","12.1","12.75","12.75","12.75","11.55","11.55","11.55","15.9","15.9","15.9","6.45","6.45","6.45","9","9","9","10.8","10.8","10.8","10.7","10.7","10.7","13.15","13.15","13.15","9.75","9.75","9.75","12.15","12.15","12.15","10.9","10.9","10.9","5.7","5.7","5.7","10.5","10.5","10.5","12.85","12.85","12.85","3.9","3.9","3.9","9.55","9.55","9.55","12.3","12.3","12.3"
"6","10.15","10.15","10.15","7.7","7.7","7.7","8.15","8.15","8.15","14.6","14.6","14.6","11.25","11.25","11.25","17.45","17.45","17.45","12.45","12.45","12.45","11.55","11.55","11.55","13.55","13.55","13.55","11.9","11.9","11.9","12","12","12","16.25","16.25","16.25","17.3","17.3","17.3","21.8","21.8","21.8","13.2","13.2","13.2","19.9","19.9","19.9","6.8","6.8","6.8","9.7","9.7","9.7","12.35","12.35","12.35","13.55","13.55","13.55","14.25","14.25","14.25","11.75","11.75","11.75","15","15","15","9.35","9.35","9.35","9.55","9.55","9.55","10.55","10.55","10.55","10.6","10.6","10.6","3.6","3.6","3.6","13.95","13.95","13.95","14.95","14.95","14.95"
"8","4.9","4.9","4.9","10.3","10.3","10.3","8.4","8.4","8.4","18.6","18.6","18.6","12.1","12.1","12.1","17.35","17.35","17.35","12.05","12.05","12.05","11","11","11","17.3","17.3","17.3","17.9","17.9","17.9","14.3","14.3","14.3","18.7","18.7","18.7","22","22","22","20.1","20.1","20.1","17.7","17.7","17.7","20.1","20.1","20.1","8.55","8.55","8.55","11.7","11.7","11.7","10.3","10.3","10.3","15.45","15.45","15.45","16","16","16","12.85","12.85","12.85","17.65","17.65","17.65","11.2","11.2","11.2","9.6","9.6","9.6","11.1","11.1","11.1","17.6","17.6","17.6","4.3","4.3","4.3","15.55","15.55","15.55","14.85","14.85","14.85"
"10","13.6","13.6","13.6","11.5","11.5","11.5","7.05","7.05","7.05","16.75","16.75","16.75","10.5","10.5","10.5","20","20","20","8","8","8","10.95","10.95","10.95","19.15","19.15","19.15","19.05","19.05","19.05","14.05","14.05","14.05","19","19","19","20.3","20.3","20.3","22.7","22.7","22.7","19.75","19.75","19.75","20.9","20.9","20.9","9.65","9.65","9.65","12.8","12.8","12.8","7.5","7.5","7.5","15.2","15.2","15.2","20","20","20","15.3","15.3","15.3","16.35","16.35","16.35","10.1","10.1","10.1","8.9","8.9","8.9","9.2","9.2","9.2","14.95","14.95","14.95","4.5","4.5","4.5","9.8","9.8","9.8","16.7","16.7","16.7"
"12","10.85","10.85","10.85","13.5","13.5","13.5","8.5","8.5","8.5","16.3","16.3","16.3","10.45","10.45","10.45","18.65","18.65","18.65","17.5","17.5","17.5","11.35","11.35","11.35","19.85","19.85","19.85","16.3","16.3","16.3","14.15","14.15","14.15","18.95","18.95","18.95","19.25","19.25","19.25","21.9","21.9","21.9","16.9","16.9","16.9","20.05","20.05","20.05","11","11","11","14.4","14.4","14.4","6.85","6.85","6.85","16.6","16.6","16.6","20.95","20.95","20.95","14.5","14.5","14.5","18.8","18.8","18.8","11","11","11","10.65","10.65","10.65","8.5","8.5","8.5","20.5","20.5","20.5","4.75","4.75","4.75","8.4","8.4","8.4","18.7","18.7","18.7"
"14","11.35","11.35","11.35","13.65","13.65","13.65","8.25","8.25","8.25","21.95","21.95","21.95","10.7","10.7","10.7","16.15","16.15","16.15","19.6","19.6","19.6","12.3","12.3","12.3","20.55","20.55","20.55","21.95","21.95","21.95","12.95","12.95","12.95","19.2","19.2","19.2","19.6","19.6","19.6","20.45","20.45","20.45","20","20","20","18.65","18.65","18.65","10.65","10.65","10.65","10.35","10.35","10.35","16.2","16.2","16.2","17.95","17.95","17.95","21.05","21.05","21.05","19.25","19.25","19.25","16.8","16.8","16.8","13.5","13.5","13.5","9.9","9.9","9.9","8.55","8.55","8.55","17.7","17.7","17.7","4.15","4.15","4.15","10.75","10.75","10.75","19","19","19"
"16","12","12","12","11.2","11.2","11.2","7.45","7.45","7.45","18.8","18.8","18.8","10.5","10.5","10.5","20.2","20.2","20.2","18.15","18.15","18.15","13.75","13.75","13.75","23.25","23.25","23.25","16.05","16.05","16.05","12.4","12.4","12.4","18.9","18.9","18.9","19.95","19.95","19.95","18.05","18.05","18.05","20.05","20.05","20.05","23.45","23.45","23.45","11.5","11.5","11.5","15.3","15.3","15.3","14","14","14","22.15","22.15","22.15","21.3","21.3","21.3","17.05","17.05","17.05","18.3","18.3","18.3","18.55","18.55","18.55","9.95","9.95","9.95","6.75","6.75","6.75","19.7","19.7","19.7","3.8","3.8","3.8","9.65","9.65","9.65","20.2","20.2","20.2"
"18","14.9","14.9","14.9","10.35","10.35","10.35","9.95","9.95","9.95","21.65","21.65","21.65","16.4","16.4","16.4","17.5","17.5","17.5","18.9","18.9","18.9","14.15","14.15","14.15","21.2","21.2","21.2","18.55","18.55","18.55","15.25","15.25","15.25","16.3","16.3","16.3","22.4","22.4","22.4","19.5","19.5","19.5","19.85","19.85","19.85","21.35","21.35","21.35","12.1","12.1","12.1","17.1","17.1","17.1","15.6","15.6","15.6","19.95","19.95","19.95","17.65","17.65","17.65","21.85","21.85","21.85","15.7","15.7","15.7","16.65","16.65","16.65","9.4","9.4","9.4","14.05","14.05","14.05","13.6","13.6","13.6","3.65","3.65","3.65","11.75","11.75","11.75","18","18","18"
