"Step","playful-sweep-90 - test/rew_mean","playful-sweep-90 - test/rew_mean__MIN","playful-sweep-90 - test/rew_mean__MAX","breezy-sweep-89 - test/rew_mean","breezy-sweep-89 - test/rew_mean__MIN","breezy-sweep-89 - test/rew_mean__MAX","lucky-sweep-88 - test/rew_mean","lucky-sweep-88 - test/rew_mean__MIN","lucky-sweep-88 - test/rew_mean__MAX","devoted-sweep-87 - test/rew_mean","devoted-sweep-87 - test/rew_mean__MIN","devoted-sweep-87 - test/rew_mean__MAX","rare-sweep-86 - test/rew_mean","rare-sweep-86 - test/rew_mean__MIN","rare-sweep-86 - test/rew_mean__MAX","lemon-sweep-85 - test/rew_mean","lemon-sweep-85 - test/rew_mean__MIN","lemon-sweep-85 - test/rew_mean__MAX","hearty-sweep-84 - test/rew_mean","hearty-sweep-84 - test/rew_mean__MIN","hearty-sweep-84 - test/rew_mean__MAX","clean-sweep-83 - test/rew_mean","clean-sweep-83 - test/rew_mean__MIN","clean-sweep-83 - test/rew_mean__MAX","fluent-sweep-82 - test/rew_mean","fluent-sweep-82 - test/rew_mean__MIN","fluent-sweep-82 - test/rew_mean__MAX","jolly-sweep-81 - test/rew_mean","jolly-sweep-81 - test/rew_mean__MIN","jolly-sweep-81 - test/rew_mean__MAX","denim-sweep-80 - test/rew_mean","denim-sweep-80 - test/rew_mean__MIN","denim-sweep-80 - test/rew_mean__MAX","stellar-sweep-79 - test/rew_mean","stellar-sweep-79 - test/rew_mean__MIN","stellar-sweep-79 - test/rew_mean__MAX","devout-sweep-78 - test/rew_mean","devout-sweep-78 - test/rew_mean__MIN","devout-sweep-78 - test/rew_mean__MAX","jolly-sweep-77 - test/rew_mean","jolly-sweep-77 - test/rew_mean__MIN","jolly-sweep-77 - test/rew_mean__MAX","earthy-sweep-76 - test/rew_mean","earthy-sweep-76 - test/rew_mean__MIN","earthy-sweep-76 - test/rew_mean__MAX","ethereal-sweep-75 - test/rew_mean","ethereal-sweep-75 - test/rew_mean__MIN","ethereal-sweep-75 - test/rew_mean__MAX","balmy-sweep-74 - test/rew_mean","balmy-sweep-74 - test/rew_mean__MIN","balmy-sweep-74 - test/rew_mean__MAX","fluent-sweep-73 - test/rew_mean","fluent-sweep-73 - test/rew_mean__MIN","fluent-sweep-73 - test/rew_mean__MAX","dainty-sweep-72 - test/rew_mean","dainty-sweep-72 - test/rew_mean__MIN","dainty-sweep-72 - test/rew_mean__MAX","fancy-sweep-71 - test/rew_mean","fancy-sweep-71 - test/rew_mean__MIN","fancy-sweep-71 - test/rew_mean__MAX","woven-sweep-70 - test/rew_mean","woven-sweep-70 - test/rew_mean__MIN","woven-sweep-70 - test/rew_mean__MAX","graceful-sweep-69 - test/rew_mean","graceful-sweep-69 - test/rew_mean__MIN","graceful-sweep-69 - test/rew_mean__MAX","sparkling-sweep-68 - test/rew_mean","sparkling-sweep-68 - test/rew_mean__MIN","sparkling-sweep-68 - test/rew_mean__MAX","sweepy-sweep-67 - test/rew_mean","sweepy-sweep-67 - test/rew_mean__MIN","sweepy-sweep-67 - test/rew_mean__MAX","firm-sweep-66 - test/rew_mean","firm-sweep-66 - test/rew_mean__MIN","firm-sweep-66 - test/rew_mean__MAX","helpful-sweep-65 - test/rew_mean","helpful-sweep-65 - test/rew_mean__MIN","helpful-sweep-65 - test/rew_mean__MAX","golden-sweep-64 - test/rew_mean","golden-sweep-64 - test/rew_mean__MIN","golden-sweep-64 - test/rew_mean__MAX","cool-sweep-63 - test/rew_mean","cool-sweep-63 - test/rew_mean__MIN","cool-sweep-63 - test/rew_mean__MAX","fiery-sweep-62 - test/rew_mean","fiery-sweep-62 - test/rew_mean__MIN","fiery-sweep-62 - test/rew_mean__MAX","fast-sweep-61 - test/rew_mean","fast-sweep-61 - test/rew_mean__MIN","fast-sweep-61 - test/rew_mean__MAX"
"0","2.1","2.1","2.1","1.5","1.5","1.5","4.1","4.1","4.1","2.2","2.2","2.2","2.85","2.85","2.85","2.85","2.85","2.85","3","3","3","2.65","2.65","2.65","2.85","2.85","2.85","2.1","2.1","2.1","0.9","0.9","0.9","2.6","2.6","2.6","1.5","1.5","1.5","2.15","2.15","2.15","1.9","1.9","1.9","1.75","1.75","1.75","2.05","2.05","2.05","2","2","2","2.15","2.15","2.15","2.05","2.05","2.05","1.5","1.5","1.5","1.75","1.75","1.75","2.2","2.2","2.2","1.4","1.4","1.4","2.8","2.8","2.8","2.25","2.25","2.25","1","1","1","3.95","3.95","3.95","2","2","2","2.3","2.3","2.3"
"2","2.55","2.55","2.55","1.5","1.5","1.5","2.15","2.15","2.15","1.25","1.25","1.25","1.1","1.1","1.1","2.65","2.65","2.65","2.25","2.25","2.25","2.2","2.2","2.2","1.8","1.8","1.8","1.5","1.5","1.5","2.45","2.45","2.45","1","1","1","2.75","2.75","2.75","1.55","1.55","1.55","1.1","1.1","1.1","3.65","3.65","3.65","3.2","3.2","3.2","2.75","2.75","2.75","2.8","2.8","2.8","2.35","2.35","2.35","2.55","2.55","2.55","1.7","1.7","1.7","2","2","2","1.1","1.1","1.1","1.45","1.45","1.45","1.45","1.45","1.45","1.5","1.5","1.5","2.75","2.75","2.75","1.8","1.8","1.8","3.3","3.3","3.3"
"4","1.95","1.95","1.95","2","2","2","1.85","1.85","1.85","2.6","2.6","2.6","2.45","2.45","2.45","3.35","3.35","3.35","2.25","2.25","2.25","1.3","1.3","1.3","1.4","1.4","1.4","2.35","2.35","2.35","1.55","1.55","1.55","2.55","2.55","2.55","2","2","2","2.15","2.15","2.15","2","2","2","2.35","2.35","2.35","2.95","2.95","2.95","2.75","2.75","2.75","1.65","1.65","1.65","2.9","2.9","2.9","3.05","3.05","3.05","1.35","1.35","1.35","2.3","2.3","2.3","2.2","2.2","2.2","1.15","1.15","1.15","0.9","0.9","0.9","1.35","1.35","1.35","1.65","1.65","1.65","2","2","2","2.95","2.95","2.95"
"6","2.8","2.8","2.8","2.75","2.75","2.75","2.55","2.55","2.55","2.1","2.1","2.1","3.5","3.5","3.5","1.55","1.55","1.55","2.45","2.45","2.45","1.8","1.8","1.8","2.15","2.15","2.15","3.8","3.8","3.8","1.9","1.9","1.9","2.15","2.15","2.15","2.25","2.25","2.25","2.65","2.65","2.65","3.1","3.1","3.1","4","4","4","4.3","4.3","4.3","3.2","3.2","3.2","2.9","2.9","2.9","2.7","2.7","2.7","6.35","6.35","6.35","2.85","2.85","2.85","1.5","1.5","1.5","4.9","4.9","4.9","2.75","2.75","2.75","0.95","0.95","0.95","3.45","3.45","3.45","2.6","2.6","2.6","1.35","1.35","1.35","4.2","4.2","4.2"
"8","3.15","3.15","3.15","3.15","3.15","3.15","2.05","2.05","2.05","1.7","1.7","1.7","5.85","5.85","5.85","6.25","6.25","6.25","4.65","4.65","4.65","1.9","1.9","1.9","2.9","2.9","2.9","4.25","4.25","4.25","3.05","3.05","3.05","2.35","2.35","2.35","3.05","3.05","3.05","2.5","2.5","2.5","3.35","3.35","3.35","4.2","4.2","4.2","6.9","6.9","6.9","2.5","2.5","2.5","2.7","2.7","2.7","5.1","5.1","5.1","7.7","7.7","7.7","1.9","1.9","1.9","1.4","1.4","1.4","5","5","5","2.85","2.85","2.85","1.6","1.6","1.6","2.65","2.65","2.65","6.1","6.1","6.1","2.25","2.25","2.25","5.9","5.9","5.9"
"10","2.15","2.15","2.15","7.1","7.1","7.1","3.8","3.8","3.8","1.65","1.65","1.65","8.05","8.05","8.05","7.55","7.55","7.55","8.85","8.85","8.85","2.15","2.15","2.15","4.9","4.9","4.9","6.7","6.7","6.7","5.25","5.25","5.25","2.25","2.25","2.25","2.05","2.05","2.05","2.6","2.6","2.6","5.85","5.85","5.85","6.6","6.6","6.6","6.95","6.95","6.95","1.15","1.15","1.15","1.8","1.8","1.8","9.8","9.8","9.8","9.35","9.35","9.35","2.3","2.3","2.3","1.25","1.25","1.25","8.35","8.35","8.35","5.75","5.75","5.75","1.1","1.1","1.1","4.25","4.25","4.25","4.8","4.8","4.8","1.9","1.9","1.9","9.5","9.5","9.5"
"12","2.25","2.25","2.25","4.1","4.1","4.1","5.75","5.75","5.75","4.6","4.6","4.6","8.1","8.1","8.1","9.7","9.7","9.7","9.55","9.55","9.55","1.6","1.6","1.6","5.55","5.55","5.55","4.95","4.95","4.95","5.65","5.65","5.65","3.65","3.65","3.65","2.65","2.65","2.65","5.3","5.3","5.3","10.5","10.5","10.5","4.45","4.45","4.45","6.65","6.65","6.65","2.05","2.05","2.05","0.9","0.9","0.9","9.25","9.25","9.25","11.45","11.45","11.45","2.45","2.45","2.45","2.6","2.6","2.6","7.85","7.85","7.85","8.05","8.05","8.05","1.3","1.3","1.3","5.65","5.65","5.65","6.8","6.8","6.8","4.75","4.75","4.75","9.75","9.75","9.75"
"14","2","2","2","8.35","8.35","8.35","5.95","5.95","5.95","5.45","5.45","5.45","7.5","7.5","7.5","8.65","8.65","8.65","6.8","6.8","6.8","2.55","2.55","2.55","9.75","9.75","9.75","11.9","11.9","11.9","9.2","9.2","9.2","2.8","2.8","2.8","3.25","3.25","3.25","4","4","4","6.9","6.9","6.9","7.75","7.75","7.75","11.25","11.25","11.25","4.3","4.3","4.3","2.9","2.9","2.9","10.9","10.9","10.9","12.4","12.4","12.4","5","5","5","2.35","2.35","2.35","7.55","7.55","7.55","11","11","11","1.9","1.9","1.9","5.55","5.55","5.55","6.75","6.75","6.75","6.35","6.35","6.35","10.5","10.5","10.5"
"16","3.05","3.05","3.05","6.35","6.35","6.35","5.95","5.95","5.95","5.15","5.15","5.15","11.3","11.3","11.3","9.95","9.95","9.95","6.35","6.35","6.35","2.25","2.25","2.25","8.1","8.1","8.1","9.85","9.85","9.85","7.75","7.75","7.75","3.85","3.85","3.85","2.35","2.35","2.35","4.55","4.55","4.55","10.4","10.4","10.4","7.75","7.75","7.75","4.9","4.9","4.9","7.15","7.15","7.15","2.2","2.2","2.2","11.4","11.4","11.4","9.35","9.35","9.35","5.75","5.75","5.75","3.05","3.05","3.05","6.9","6.9","6.9","11.35","11.35","11.35","1.05","1.05","1.05","8.25","8.25","8.25","4.9","4.9","4.9","5.2","5.2","5.2","8.3","8.3","8.3"
"18","4.7","4.7","4.7","9.3","9.3","9.3","4.85","4.85","4.85","6.3","6.3","6.3","12.7","12.7","12.7","7.5","7.5","7.5","9.25","9.25","9.25","2.05","2.05","2.05","9.4","9.4","9.4","11.25","11.25","11.25","8.6","8.6","8.6","7","7","7","2.95","2.95","2.95","5.3","5.3","5.3","10.7","10.7","10.7","9.6","9.6","9.6","9.05","9.05","9.05","3.35","3.35","3.35","2.15","2.15","2.15","5.5","5.5","5.5","9.7","9.7","9.7","8.55","8.55","8.55","2.3","2.3","2.3","8.5","8.5","8.5","11.9","11.9","11.9","2.4","2.4","2.4","7.6","7.6","7.6","5.7","5.7","5.7","4.55","4.55","4.55","12.85","12.85","12.85"
