"Step","jumping-sweep-30 - test/rew_mean","jumping-sweep-30 - test/rew_mean__MIN","jumping-sweep-30 - test/rew_mean__MAX","cerulean-sweep-29 - test/rew_mean","cerulean-sweep-29 - test/rew_mean__MIN","cerulean-sweep-29 - test/rew_mean__MAX","clean-sweep-28 - test/rew_mean","clean-sweep-28 - test/rew_mean__MIN","clean-sweep-28 - test/rew_mean__MAX","confused-sweep-27 - test/rew_mean","confused-sweep-27 - test/rew_mean__MIN","confused-sweep-27 - test/rew_mean__MAX","ethereal-sweep-26 - test/rew_mean","ethereal-sweep-26 - test/rew_mean__MIN","ethereal-sweep-26 - test/rew_mean__MAX","jumping-sweep-25 - test/rew_mean","jumping-sweep-25 - test/rew_mean__MIN","jumping-sweep-25 - test/rew_mean__MAX","zany-sweep-24 - test/rew_mean","zany-sweep-24 - test/rew_mean__MIN","zany-sweep-24 - test/rew_mean__MAX","balmy-sweep-23 - test/rew_mean","balmy-sweep-23 - test/rew_mean__MIN","balmy-sweep-23 - test/rew_mean__MAX","fiery-sweep-22 - test/rew_mean","fiery-sweep-22 - test/rew_mean__MIN","fiery-sweep-22 - test/rew_mean__MAX","classic-sweep-21 - test/rew_mean","classic-sweep-21 - test/rew_mean__MIN","classic-sweep-21 - test/rew_mean__MAX","upbeat-sweep-20 - test/rew_mean","upbeat-sweep-20 - test/rew_mean__MIN","upbeat-sweep-20 - test/rew_mean__MAX","young-sweep-19 - test/rew_mean","young-sweep-19 - test/rew_mean__MIN","young-sweep-19 - test/rew_mean__MAX","pretty-sweep-18 - test/rew_mean","pretty-sweep-18 - test/rew_mean__MIN","pretty-sweep-18 - test/rew_mean__MAX","lemon-sweep-17 - test/rew_mean","lemon-sweep-17 - test/rew_mean__MIN","lemon-sweep-17 - test/rew_mean__MAX","firm-sweep-16 - test/rew_mean","firm-sweep-16 - test/rew_mean__MIN","firm-sweep-16 - test/rew_mean__MAX","expert-sweep-15 - test/rew_mean","expert-sweep-15 - test/rew_mean__MIN","expert-sweep-15 - test/rew_mean__MAX","worthy-sweep-14 - test/rew_mean","worthy-sweep-14 - test/rew_mean__MIN","worthy-sweep-14 - test/rew_mean__MAX","magic-sweep-13 - test/rew_mean","magic-sweep-13 - test/rew_mean__MIN","magic-sweep-13 - test/rew_mean__MAX","charmed-sweep-12 - test/rew_mean","charmed-sweep-12 - test/rew_mean__MIN","charmed-sweep-12 - test/rew_mean__MAX","legendary-sweep-11 - test/rew_mean","legendary-sweep-11 - test/rew_mean__MIN","legendary-sweep-11 - test/rew_mean__MAX","dainty-sweep-10 - test/rew_mean","dainty-sweep-10 - test/rew_mean__MIN","dainty-sweep-10 - test/rew_mean__MAX","daily-sweep-9 - test/rew_mean","daily-sweep-9 - test/rew_mean__MIN","daily-sweep-9 - test/rew_mean__MAX","trim-sweep-8 - test/rew_mean","trim-sweep-8 - test/rew_mean__MIN","trim-sweep-8 - test/rew_mean__MAX","scarlet-sweep-7 - test/rew_mean","scarlet-sweep-7 - test/rew_mean__MIN","scarlet-sweep-7 - test/rew_mean__MAX","polar-sweep-6 - test/rew_mean","polar-sweep-6 - test/rew_mean__MIN","polar-sweep-6 - test/rew_mean__MAX","firm-sweep-5 - test/rew_mean","firm-sweep-5 - test/rew_mean__MIN","firm-sweep-5 - test/rew_mean__MAX","northern-sweep-4 - test/rew_mean","northern-sweep-4 - test/rew_mean__MIN","northern-sweep-4 - test/rew_mean__MAX","fiery-sweep-3 - test/rew_mean","fiery-sweep-3 - test/rew_mean__MIN","fiery-sweep-3 - test/rew_mean__MAX","smart-sweep-2 - test/rew_mean","smart-sweep-2 - test/rew_mean__MIN","smart-sweep-2 - test/rew_mean__MAX","dutiful-sweep-1 - test/rew_mean","dutiful-sweep-1 - test/rew_mean__MIN","dutiful-sweep-1 - test/rew_mean__MAX"
"0","14.85","14.85","14.85","15.45","15.45","15.45","16.5","16.5","16.5","14.4","14.4","14.4","15.15","15.15","15.15","15.6","15.6","15.6","15.9","15.9","15.9","15","15","15","16.35","16.35","16.35","15.3","15.3","15.3","16.2","16.2","16.2","15.45","15.45","15.45","15.75","15.75","15.75","15.45","15.45","15.45","15","15","15","15.3","15.3","15.3","15.15","15.15","15.15","15.6","15.6","15.6","16.35","16.35","16.35","13.2","13.2","13.2","16.05","16.05","16.05","15.15","15.15","15.15","15.9","15.9","15.9","16.2","16.2","16.2","16.35","16.35","16.35","13.95","13.95","13.95","15.15","15.15","15.15","16.65","16.65","16.65","15.9","15.9","15.9","16.95","16.95","16.95"
"2","18.45","18.45","18.45","19.8","19.8","19.8","19.8","19.8","19.8","19.95","19.95","19.95","19.05","19.05","19.05","19.5","19.5","19.5","16.8","16.8","16.8","20.25","20.25","20.25","16.65","16.65","16.65","20.1","20.1","20.1","18","18","18","19.95","19.95","19.95","19.8","19.8","19.8","18.15","18.15","18.15","19.2","19.2","19.2","18","18","18","18.75","18.75","18.75","19.35","19.35","19.35","23.25","23.25","23.25","19.8","19.8","19.8","21.6","21.6","21.6","17.25","17.25","17.25","17.4","17.4","17.4","17.25","17.25","17.25","19.5","19.5","19.5","19.65","19.65","19.65","17.25","17.25","17.25","21.9","21.9","21.9","17.25","17.25","17.25","17.7","17.7","17.7"
"4","22.35","22.35","22.35","23.25","23.25","23.25","23.4","23.4","23.4","24.15","24.15","24.15","22.8","22.8","22.8","19.05","19.05","19.05","19.5","19.5","19.5","22.2","22.2","22.2","19.2","19.2","19.2","20.85","20.85","20.85","23.1","23.1","23.1","23.55","23.55","23.55","19.95","19.95","19.95","23.1","23.1","23.1","19.95","19.95","19.95","20.4","20.4","20.4","22.8","22.8","22.8","21.6","21.6","21.6","21.6","21.6","21.6","19.5","19.5","19.5","23.85","23.85","23.85","23.1","23.1","23.1","22.95","22.95","22.95","20.7","20.7","20.7","24","24","24","21.3","21.3","21.3","18.75","18.75","18.75","24.3","24.3","24.3","22.35","22.35","22.35","23.25","23.25","23.25"
"6","21.9","21.9","21.9","22.5","22.5","22.5","23.95","23.95","23.95","24.75","24.75","24.75","24.6","24.6","24.6","19.8","19.8","19.8","18.6","18.6","18.6","22.8","22.8","22.8","20.7","20.7","20.7","22.65","22.65","22.65","21","21","21","26.1","26.1","26.1","22.65","22.65","22.65","21.45","21.45","21.45","19.35","19.35","19.35","22.35","22.35","22.35","26.85","26.85","26.85","22.2","22.2","22.2","22.8","22.8","22.8","19.5","19.5","19.5","24.75","24.75","24.75","22.8","22.8","22.8","24.75","24.75","24.75","22.8","22.8","22.8","20.25","20.25","20.25","22.5","22.5","22.5","23.25","23.25","23.25","23.25","23.25","23.25","23.25","23.25","23.25","24.15","24.15","24.15"
"8","21.75","21.75","21.75","22.95","22.95","22.95","24.6","24.6","24.6","23.85","23.85","23.85","25.8","25.8","25.8","25.05","25.05","25.05","19.65","19.65","19.65","22.8","22.8","22.8","20.1","20.1","20.1","22.5","22.5","22.5","24.6","24.6","24.6","26.1","26.1","26.1","23.85","23.85","23.85","22.65","22.65","22.65","22.2","22.2","22.2","24","24","24","26.4","26.4","26.4","22.05","22.05","22.05","24.15","24.15","24.15","22.8","22.8","22.8","25.95","25.95","25.95","22.65","22.65","22.65","24.75","24.75","24.75","22.5","22.5","22.5","26.7","26.7","26.7","22.8","22.8","22.8","22.65","22.65","22.65","24.15","24.15","24.15","28.8","28.8","28.8","25.95","25.95","25.95"
"10","23.1","23.1","23.1","22.35","22.35","22.35","25.5","25.5","25.5","23.85","23.85","23.85","22.8","22.8","22.8","25.05","25.05","25.05","18.6","18.6","18.6","22.35","22.35","22.35","26.7","26.7","26.7","22.35","22.35","22.35","29.1","29.1","29.1","27.3","27.3","27.3","25.5","25.5","25.5","22.35","22.35","22.35","23.25","23.25","23.25","25.35","25.35","25.35","26.1","26.1","26.1","22.2","22.2","22.2","23.25","23.25","23.25","22.35","22.35","22.35","24.9","24.9","24.9","22.5","22.5","22.5","24.15","24.15","24.15","25.95","25.95","25.95","27.3","27.3","27.3","22.5","22.5","22.5","23.1","23.1","23.1","24.6","24.6","24.6","28.35","28.35","28.35","25.95","25.95","25.95"
"12","22.8","22.8","22.8","24.9","24.9","24.9","26.4","26.4","26.4","24","24","24","25.05","25.05","25.05","23.25","23.25","23.25","20.85","20.85","20.85","22.2","22.2","22.2","25.95","25.95","25.95","22.5","22.5","22.5","25.5","25.5","25.5","27.15","27.15","27.15","25.05","25.05","25.05","22.2","22.2","22.2","21.75","21.75","21.75","24.15","24.15","24.15","24.3","24.3","24.3","22.8","22.8","22.8","23.7","23.7","23.7","22.5","22.5","22.5","25.95","25.95","25.95","22.5","22.5","22.5","23.7","23.7","23.7","25.05","25.05","25.05","25.8","25.8","25.8","22.05","22.05","22.05","23.25","23.25","23.25","25.95","25.95","25.95","28.35","28.35","28.35","24.15","24.15","24.15"
"14","22.5","22.5","22.5","26.1","26.1","26.1","27.3","27.3","27.3","25.95","25.95","25.95","25.95","25.95","25.95","26.85","26.85","26.85","20.4","20.4","20.4","23.1","23.1","23.1","26.85","26.85","26.85","22.8","22.8","22.8","26.4","26.4","26.4","28.95","28.95","28.95","26.4","26.4","26.4","22.65","22.65","22.65","22.5","22.5","22.5","25.05","25.05","25.05","25.5","25.5","25.5","22.35","22.35","22.35","23.25","23.25","23.25","21.9","21.9","21.9","25.5","25.5","25.5","24.75","24.75","24.75","26.4","26.4","26.4","25.95","25.95","25.95","24.9","24.9","24.9","23.1","23.1","23.1","22.8","22.8","22.8","25.5","25.5","25.5","29.7","29.7","29.7","26.4","26.4","26.4"
"16","23.55","23.55","23.55","28.65","28.65","28.65","24.6","24.6","24.6","29.55","29.55","29.55","24.15","24.15","24.15","24.6","24.6","24.6","20.4","20.4","20.4","22.5","22.5","22.5","25.5","25.5","25.5","22.35","22.35","22.35","26.85","26.85","26.85","28.95","28.95","28.95","22.8","22.8","22.8","22.2","22.2","22.2","22.95","22.95","22.95","27.3","27.3","27.3","24.15","24.15","24.15","22.95","22.95","22.95","24.45","24.45","24.45","22.8","22.8","22.8","26.85","26.85","26.85","25.35","25.35","25.35","25.95","25.95","25.95","24.6","24.6","24.6","26.25","26.25","26.25","23.25","23.25","23.25","24.75","24.75","24.75","22.8","22.8","22.8","30","30","30","24.6","24.6","24.6"
"18","23.7","23.7","23.7","28.95","28.95","28.95","25.5","25.5","25.5","29.25","29.25","29.25","25.5","25.5","25.5","24.6","24.6","24.6","19.05","19.05","19.05","21.9","21.9","21.9","25.05","25.05","25.05","22.65","22.65","22.65","26.4","26.4","26.4","27.15","27.15","27.15","25.05","25.05","25.05","22.35","22.35","22.35","22.8","22.8","22.8","25.05","25.05","25.05","27.3","27.3","27.3","22.65","22.65","22.65","25.2","25.2","25.2","22.5","22.5","22.5","25.5","25.5","25.5","24","24","24","26.85","26.85","26.85","25.5","25.5","25.5","25.5","25.5","25.5","22.95","22.95","22.95","22.8","22.8","22.8","25.95","25.95","25.95","31.8","31.8","31.8","24.15","24.15","24.15"
