"Step","whole-sweep-30 - test/rew_mean","whole-sweep-30 - test/rew_mean__MIN","whole-sweep-30 - test/rew_mean__MAX","rose-sweep-29 - test/rew_mean","rose-sweep-29 - test/rew_mean__MIN","rose-sweep-29 - test/rew_mean__MAX","unique-sweep-28 - test/rew_mean","unique-sweep-28 - test/rew_mean__MIN","unique-sweep-28 - test/rew_mean__MAX","magic-sweep-27 - test/rew_mean","magic-sweep-27 - test/rew_mean__MIN","magic-sweep-27 - test/rew_mean__MAX","misunderstood-sweep-26 - test/rew_mean","misunderstood-sweep-26 - test/rew_mean__MIN","misunderstood-sweep-26 - test/rew_mean__MAX","stellar-sweep-25 - test/rew_mean","stellar-sweep-25 - test/rew_mean__MIN","stellar-sweep-25 - test/rew_mean__MAX","sage-sweep-24 - test/rew_mean","sage-sweep-24 - test/rew_mean__MIN","sage-sweep-24 - test/rew_mean__MAX","eager-sweep-23 - test/rew_mean","eager-sweep-23 - test/rew_mean__MIN","eager-sweep-23 - test/rew_mean__MAX","magic-sweep-22 - test/rew_mean","magic-sweep-22 - test/rew_mean__MIN","magic-sweep-22 - test/rew_mean__MAX","stoic-sweep-21 - test/rew_mean","stoic-sweep-21 - test/rew_mean__MIN","stoic-sweep-21 - test/rew_mean__MAX","fallen-sweep-20 - test/rew_mean","fallen-sweep-20 - test/rew_mean__MIN","fallen-sweep-20 - test/rew_mean__MAX","bright-sweep-19 - test/rew_mean","bright-sweep-19 - test/rew_mean__MIN","bright-sweep-19 - test/rew_mean__MAX","polar-sweep-18 - test/rew_mean","polar-sweep-18 - test/rew_mean__MIN","polar-sweep-18 - test/rew_mean__MAX","jumping-sweep-17 - test/rew_mean","jumping-sweep-17 - test/rew_mean__MIN","jumping-sweep-17 - test/rew_mean__MAX","sweet-sweep-16 - test/rew_mean","sweet-sweep-16 - test/rew_mean__MIN","sweet-sweep-16 - test/rew_mean__MAX","drawn-sweep-15 - test/rew_mean","drawn-sweep-15 - test/rew_mean__MIN","drawn-sweep-15 - test/rew_mean__MAX","lemon-sweep-14 - test/rew_mean","lemon-sweep-14 - test/rew_mean__MIN","lemon-sweep-14 - test/rew_mean__MAX","lemon-sweep-13 - test/rew_mean","lemon-sweep-13 - test/rew_mean__MIN","lemon-sweep-13 - test/rew_mean__MAX","restful-sweep-12 - test/rew_mean","restful-sweep-12 - test/rew_mean__MIN","restful-sweep-12 - test/rew_mean__MAX","deft-sweep-11 - test/rew_mean","deft-sweep-11 - test/rew_mean__MIN","deft-sweep-11 - test/rew_mean__MAX","rose-sweep-10 - test/rew_mean","rose-sweep-10 - test/rew_mean__MIN","rose-sweep-10 - test/rew_mean__MAX","northern-sweep-9 - test/rew_mean","northern-sweep-9 - test/rew_mean__MIN","northern-sweep-9 - test/rew_mean__MAX","scarlet-sweep-8 - test/rew_mean","scarlet-sweep-8 - test/rew_mean__MIN","scarlet-sweep-8 - test/rew_mean__MAX","fanciful-sweep-7 - test/rew_mean","fanciful-sweep-7 - test/rew_mean__MIN","fanciful-sweep-7 - test/rew_mean__MAX","treasured-sweep-6 - test/rew_mean","treasured-sweep-6 - test/rew_mean__MIN","treasured-sweep-6 - test/rew_mean__MAX","solar-sweep-5 - test/rew_mean","solar-sweep-5 - test/rew_mean__MIN","solar-sweep-5 - test/rew_mean__MAX","wandering-sweep-4 - test/rew_mean","wandering-sweep-4 - test/rew_mean__MIN","wandering-sweep-4 - test/rew_mean__MAX","desert-sweep-3 - test/rew_mean","desert-sweep-3 - test/rew_mean__MIN","desert-sweep-3 - test/rew_mean__MAX","pretty-sweep-2 - test/rew_mean","pretty-sweep-2 - test/rew_mean__MIN","pretty-sweep-2 - test/rew_mean__MAX","wise-sweep-1 - test/rew_mean","wise-sweep-1 - test/rew_mean__MIN","wise-sweep-1 - test/rew_mean__MAX"
"0","3.15","3.15","3.15","2.55","2.55","2.55","2.35","2.35","2.35","1.75","1.75","1.75","2.75","2.75","2.75","3.15","3.15","3.15","2","2","2","1.8","1.8","1.8","2.35","2.35","2.35","2.75","2.75","2.75","1.95","1.95","1.95","2.05","2.05","2.05","2.4","2.4","2.4","1.35","1.35","1.35","2","2","2","3.75","3.75","3.75","3.55","3.55","3.55","4.1","4.1","4.1","3","3","3","2.3","2.3","2.3","2.3","2.3","2.3","2","2","2","3","3","3","2.5","2.5","2.5","2.3","2.3","2.3","3.1","3.1","3.1","2.9","2.9","2.9","2.8","2.8","2.8","1.85","1.85","1.85","3.95","3.95","3.95"
"2","3","3","3","2.55","2.55","2.55","2.35","2.35","2.35","4.35","4.35","4.35","1.15","1.15","1.15","5.15","5.15","5.15","2.2","2.2","2.2","2.85","2.85","2.85","3.8","3.8","3.8","2.3","2.3","2.3","2.6","2.6","2.6","3.7","3.7","3.7","3.35","3.35","3.35","3.6","3.6","3.6","2.9","2.9","2.9","3.4","3.4","3.4","2.2","2.2","2.2","3.3","3.3","3.3","4.25","4.25","4.25","3.5","3.5","3.5","3.85","3.85","3.85","2.85","2.85","2.85","1.75","1.75","1.75","3.8","3.8","3.8","3.25","3.25","3.25","3.6","3.6","3.6","2.1","2.1","2.1","2.5","2.5","2.5","1.9","1.9","1.9","3.95","3.95","3.95"
"4","2.8","2.8","2.8","3.85","3.85","3.85","4.95","4.95","4.95","4.9","4.9","4.9","2.3","2.3","2.3","3.5","3.5","3.5","2.9","2.9","2.9","2.5","2.5","2.5","3.75","3.75","3.75","8.1","8.1","8.1","2.4","2.4","2.4","3.4","3.4","3.4","2.3","2.3","2.3","3.8","3.8","3.8","3.7","3.7","3.7","2.55","2.55","2.55","2.9","2.9","2.9","2.6","2.6","2.6","1.95","1.95","1.95","3.05","3.05","3.05","4.05","4.05","4.05","4.3","4.3","4.3","2.5","2.5","2.5","10.2","10.2","10.2","4.95","4.95","4.95","2.2","2.2","2.2","2.8","2.8","2.8","8.4","8.4","8.4","3.55","3.55","3.55","4.95","4.95","4.95"
"6","2.95","2.95","2.95","13.35","13.35","13.35","9.75","9.75","9.75","11.85","11.85","11.85","11.05","11.05","11.05","3.15","3.15","3.15","2.8","2.8","2.8","15.5","15.5","15.5","12","12","12","17.4","17.4","17.4","9.3","9.3","9.3","9.45","9.45","9.45","10.05","10.05","10.05","6.75","6.75","6.75","9.15","9.15","9.15","13.1","13.1","13.1","10.35","10.35","10.35","9.6","9.6","9.6","10","10","10","8.25","8.25","8.25","7.5","7.5","7.5","11.2","11.2","11.2","9.6","9.6","9.6","17.9","17.9","17.9","8.55","8.55","8.55","4.95","4.95","4.95","4.35","4.35","4.35","15.7","15.7","15.7","10.65","10.65","10.65","12.95","12.95","12.95"
"8","10.05","10.05","10.05","16.65","16.65","16.65","12.4","12.4","12.4","16.5","16.5","16.5","9.3","9.3","9.3","9.85","9.85","9.85","9.9","9.9","9.9","18","18","18","18.25","18.25","18.25","19.05","19.05","19.05","16.2","16.2","16.2","16.35","16.35","16.35","15.3","15.3","15.3","11.7","11.7","11.7","16","16","16","14.95","14.95","14.95","17.4","17.4","17.4","14.25","14.25","14.25","15.15","15.15","15.15","16.35","16.35","16.35","18.9","18.9","18.9","16.8","16.8","16.8","13.85","13.85","13.85","18.6","18.6","18.6","13.5","13.5","13.5","20.25","20.25","20.25","9.25","9.25","9.25","15.65","15.65","15.65","17.25","17.25","17.25","16.1","16.1","16.1"
"10","18.3","18.3","18.3","20.8","20.8","20.8","20.05","20.05","20.05","17.55","17.55","17.55","10.15","10.15","10.15","14.5","14.5","14.5","15.85","15.85","15.85","21.45","21.45","21.45","23.55","23.55","23.55","20.95","20.95","20.95","27.6","27.6","27.6","19.2","19.2","19.2","20.1","20.1","20.1","18.6","18.6","18.6","19","19","19","21.45","21.45","21.45","21","21","21","15.3","15.3","15.3","21.1","21.1","21.1","12.15","12.15","12.15","16.35","16.35","16.35","18.45","18.45","18.45","14.85","14.85","14.85","20.9","20.9","20.9","22.5","22.5","22.5","21.3","21.3","21.3","17.7","17.7","17.7","21","21","21","14.75","14.75","14.75","22.8","22.8","22.8"
"12","18.45","18.45","18.45","24.75","24.75","24.75","21.6","21.6","21.6","18.3","18.3","18.3","13.15","13.15","13.15","11.95","11.95","11.95","24.6","24.6","24.6","21","21","21","24.75","24.75","24.75","21.6","21.6","21.6","21.9","21.9","21.9","19.2","19.2","19.2","21.15","21.15","21.15","17.65","17.65","17.65","13.8","13.8","13.8","20.25","20.25","20.25","21.75","21.75","21.75","18.7","18.7","18.7","22.05","22.05","22.05","17.15","17.15","17.15","17.4","17.4","17.4","19.35","19.35","19.35","14.15","14.15","14.15","18.75","18.75","18.75","16.8","16.8","16.8","20.25","20.25","20.25","21.6","21.6","21.6","23.25","23.25","23.25","20.55","20.55","20.55","19.95","19.95","19.95"
"14","18.1","18.1","18.1","22.5","22.5","22.5","22.5","22.5","22.5","18.3","18.3","18.3","20.95","20.95","20.95","20.4","20.4","20.4","23.15","23.15","23.15","25.5","25.5","25.5","24.6","24.6","24.6","22.5","22.5","22.5","22.95","22.95","22.95","21.75","21.75","21.75","24","24","24","21.6","21.6","21.6","19.65","19.65","19.65","21.75","21.75","21.75","21.6","21.6","21.6","21.6","21.6","21.6","22.5","22.5","22.5","18.55","18.55","18.55","22.05","22.05","22.05","18.75","18.75","18.75","19.95","19.95","19.95","22.8","22.8","22.8","17.7","17.7","17.7","22.95","22.95","22.95","20.85","20.85","20.85","22.5","22.5","22.5","20.25","20.25","20.25","24","24","24"
"16","18.1","18.1","18.1","22.9","22.9","22.9","18.15","18.15","18.15","24","24","24","19.35","19.35","19.35","17.9","17.9","17.9","24","24","24","22.5","22.5","22.5","22.5","22.5","22.5","21.75","21.75","21.75","24.75","24.75","24.75","22.8","22.8","22.8","18","18","18","19.8","19.8","19.8","21.9","21.9","21.9","25.5","25.5","25.5","20.25","20.25","20.25","24.05","24.05","24.05","22.35","22.35","22.35","24","24","24","24.75","24.75","24.75","17.25","17.25","17.25","20.65","20.65","20.65","21","21","21","21.6","21.6","21.6","23.35","23.35","23.35","24","24","24","18","18","18","20.55","20.55","20.55","21","21","21"
"18","20.4","20.4","20.4","23.25","23.25","23.25","21","21","21","20.25","20.25","20.25","22.45","22.45","22.45","16.95","16.95","16.95","20.55","20.55","20.55","19.5","19.5","19.5","21.75","21.75","21.75","22.5","22.5","22.5","24","24","24","20.25","20.25","20.25","21.75","21.75","21.75","20.4","20.4","20.4","21.15","21.15","21.15","21.75","21.75","21.75","24.6","24.6","24.6","23.25","23.25","23.25","23.25","23.25","23.25","24.75","24.75","24.75","22.5","22.5","22.5","18","18","18","22.5","22.5","22.5","22.5","22.5","22.5","23.85","23.85","23.85","24.75","24.75","24.75","20.4","20.4","20.4","23.25","23.25","23.25","24","24","24","20.25","20.25","20.25"
