"Step","efficient-sweep-120 - test/rew_mean","efficient-sweep-120 - test/rew_mean__MIN","efficient-sweep-120 - test/rew_mean__MAX","hopeful-sweep-119 - test/rew_mean","hopeful-sweep-119 - test/rew_mean__MIN","hopeful-sweep-119 - test/rew_mean__MAX","ethereal-sweep-118 - test/rew_mean","ethereal-sweep-118 - test/rew_mean__MIN","ethereal-sweep-118 - test/rew_mean__MAX","dry-sweep-117 - test/rew_mean","dry-sweep-117 - test/rew_mean__MIN","dry-sweep-117 - test/rew_mean__MAX","radiant-sweep-116 - test/rew_mean","radiant-sweep-116 - test/rew_mean__MIN","radiant-sweep-116 - test/rew_mean__MAX","floral-sweep-115 - test/rew_mean","floral-sweep-115 - test/rew_mean__MIN","floral-sweep-115 - test/rew_mean__MAX","legendary-sweep-114 - test/rew_mean","legendary-sweep-114 - test/rew_mean__MIN","legendary-sweep-114 - test/rew_mean__MAX","lively-sweep-113 - test/rew_mean","lively-sweep-113 - test/rew_mean__MIN","lively-sweep-113 - test/rew_mean__MAX","olive-sweep-112 - test/rew_mean","olive-sweep-112 - test/rew_mean__MIN","olive-sweep-112 - test/rew_mean__MAX","azure-sweep-111 - test/rew_mean","azure-sweep-111 - test/rew_mean__MIN","azure-sweep-111 - test/rew_mean__MAX","gentle-sweep-110 - test/rew_mean","gentle-sweep-110 - test/rew_mean__MIN","gentle-sweep-110 - test/rew_mean__MAX","still-sweep-109 - test/rew_mean","still-sweep-109 - test/rew_mean__MIN","still-sweep-109 - test/rew_mean__MAX","pretty-sweep-108 - test/rew_mean","pretty-sweep-108 - test/rew_mean__MIN","pretty-sweep-108 - test/rew_mean__MAX","hardy-sweep-107 - test/rew_mean","hardy-sweep-107 - test/rew_mean__MIN","hardy-sweep-107 - test/rew_mean__MAX","fearless-sweep-106 - test/rew_mean","fearless-sweep-106 - test/rew_mean__MIN","fearless-sweep-106 - test/rew_mean__MAX","fragrant-sweep-105 - test/rew_mean","fragrant-sweep-105 - test/rew_mean__MIN","fragrant-sweep-105 - test/rew_mean__MAX","usual-sweep-104 - test/rew_mean","usual-sweep-104 - test/rew_mean__MIN","usual-sweep-104 - test/rew_mean__MAX","visionary-sweep-103 - test/rew_mean","visionary-sweep-103 - test/rew_mean__MIN","visionary-sweep-103 - test/rew_mean__MAX","dauntless-sweep-102 - test/rew_mean","dauntless-sweep-102 - test/rew_mean__MIN","dauntless-sweep-102 - test/rew_mean__MAX","lemon-sweep-101 - test/rew_mean","lemon-sweep-101 - test/rew_mean__MIN","lemon-sweep-101 - test/rew_mean__MAX","legendary-sweep-100 - test/rew_mean","legendary-sweep-100 - test/rew_mean__MIN","legendary-sweep-100 - test/rew_mean__MAX","twilight-sweep-99 - test/rew_mean","twilight-sweep-99 - test/rew_mean__MIN","twilight-sweep-99 - test/rew_mean__MAX","lunar-sweep-98 - test/rew_mean","lunar-sweep-98 - test/rew_mean__MIN","lunar-sweep-98 - test/rew_mean__MAX","sandy-sweep-97 - test/rew_mean","sandy-sweep-97 - test/rew_mean__MIN","sandy-sweep-97 - test/rew_mean__MAX","rural-sweep-96 - test/rew_mean","rural-sweep-96 - test/rew_mean__MIN","rural-sweep-96 - test/rew_mean__MAX","misunderstood-sweep-95 - test/rew_mean","misunderstood-sweep-95 - test/rew_mean__MIN","misunderstood-sweep-95 - test/rew_mean__MAX","volcanic-sweep-94 - test/rew_mean","volcanic-sweep-94 - test/rew_mean__MIN","volcanic-sweep-94 - test/rew_mean__MAX","fresh-sweep-93 - test/rew_mean","fresh-sweep-93 - test/rew_mean__MIN","fresh-sweep-93 - test/rew_mean__MAX","graceful-sweep-92 - test/rew_mean","graceful-sweep-92 - test/rew_mean__MIN","graceful-sweep-92 - test/rew_mean__MAX","jolly-sweep-91 - test/rew_mean","jolly-sweep-91 - test/rew_mean__MIN","jolly-sweep-91 - test/rew_mean__MAX"
"0","2","2","2","2.3","2.3","2.3","2.25","2.25","2.25","1.6","1.6","1.6","1.4","1.4","1.4","1.4","1.4","1.4","2.5","2.5","2.5","3.1","3.1","3.1","2.8","2.8","2.8","2.6","2.6","2.6","3.05","3.05","3.05","1.8","1.8","1.8","2.55","2.55","2.55","3.15","3.15","3.15","1.35","1.35","1.35","3","3","3","1.45","1.45","1.45","3.35","3.35","3.35","2.05","2.05","2.05","2.1","2.1","2.1","1.85","1.85","1.85","1.8","1.8","1.8","2.6","2.6","2.6","2.6","2.6","2.6","1.8","1.8","1.8","2.25","2.25","2.25","2.5","2.5","2.5","2.5","2.5","2.5","1.55","1.55","1.55","2.25","2.25","2.25"
"2","10.05","10.05","10.05","9","9","9","2.6","2.6","2.6","11.5","11.5","11.5","3.3","3.3","3.3","7.15","7.15","7.15","6.15","6.15","6.15","8.5","8.5","8.5","7.95","7.95","7.95","3","3","3","8.55","8.55","8.55","9.15","9.15","9.15","10.3","10.3","10.3","10.15","10.15","10.15","5.85","5.85","5.85","9.6","9.6","9.6","6.15","6.15","6.15","9.75","9.75","9.75","11.85","11.85","11.85","7.35","7.35","7.35","8.5","8.5","8.5","10.05","10.05","10.05","4.65","4.65","4.65","10.15","10.15","10.15","7.6","7.6","7.6","8.7","8.7","8.7","6.15","6.15","6.15","7.8","7.8","7.8","9.3","9.3","9.3","5.1","5.1","5.1"
"4","13.5","13.5","13.5","13.65","13.65","13.65","5.7","5.7","5.7","11.25","11.25","11.25","3","3","3","10.8","10.8","10.8","15.75","15.75","15.75","16.2","16.2","16.2","12.25","12.25","12.25","3","3","3","13.95","13.95","13.95","12.45","12.45","12.45","13.95","13.95","13.95","19.8","19.8","19.8","12.45","12.45","12.45","17.7","17.7","17.7","7.65","7.65","7.65","12.3","12.3","12.3","12.9","12.9","12.9","15.9","15.9","15.9","12.6","12.6","12.6","16.9","16.9","16.9","8.1","8.1","8.1","12.9","12.9","12.9","15.8","15.8","15.8","10.65","10.65","10.65","6.75","6.75","6.75","8.1","8.1","8.1","13.35","13.35","13.35","12.3","12.3","12.3"
"6","15.75","15.75","15.75","15","15","15","12.3","12.3","12.3","14.4","14.4","14.4","3","3","3","13.2","13.2","13.2","20.25","20.25","20.25","22.8","22.8","22.8","22.2","22.2","22.2","3","3","3","18.9","18.9","18.9","13.95","13.95","13.95","22.8","22.8","22.8","19.05","19.05","19.05","13.8","13.8","13.8","18.4","18.4","18.4","7.2","7.2","7.2","19.8","19.8","19.8","13.5","13.5","13.5","22.2","22.2","22.2","14.25","14.25","14.25","21.15","21.15","21.15","10.85","10.85","10.85","18.45","18.45","18.45","17.25","17.25","17.25","12.45","12.45","12.45","7.8","7.8","7.8","7.35","7.35","7.35","13.95","13.95","13.95","13.95","13.95","13.95"
"8","19.5","19.5","19.5","19.05","19.05","19.05","16.35","16.35","16.35","20.4","20.4","20.4","3","3","3","17.85","17.85","17.85","22.5","22.5","22.5","24","24","24","23.55","23.55","23.55","3","3","3","20.1","20.1","20.1","20.25","20.25","20.25","22.2","22.2","22.2","22.2","22.2","22.2","13.2","13.2","13.2","17.95","17.95","17.95","7.35","7.35","7.35","23.55","23.55","23.55","22.5","22.5","22.5","22.45","22.45","22.45","14.7","14.7","14.7","20.4","20.4","20.4","16.95","16.95","16.95","18.75","18.75","18.75","23.25","23.25","23.25","15","15","15","7.5","7.5","7.5","7.05","7.05","7.05","13.95","13.95","13.95","22.8","22.8","22.8"
"10","20.85","20.85","20.85","21","21","21","20.1","20.1","20.1","22.35","22.35","22.35","3","3","3","20.4","20.4","20.4","21","21","21","21.75","21.75","21.75","22.2","22.2","22.2","3","3","3","22.2","22.2","22.2","18.75","18.75","18.75","21.75","21.75","21.75","19.5","19.5","19.5","13.35","13.35","13.35","18.95","18.95","18.95","7.5","7.5","7.5","21","21","21","20.25","20.25","20.25","22.5","22.5","22.5","21","21","21","22.95","22.95","22.95","17.85","17.85","17.85","20.1","20.1","20.1","25.5","25.5","25.5","15","15","15","7.8","7.8","7.8","7.2","7.2","7.2","13.8","13.8","13.8","23.25","23.25","23.25"
"12","19.8","19.8","19.8","23.25","23.25","23.25","22.05","22.05","22.05","21.75","21.75","21.75","3","3","3","18.75","18.75","18.75","24.75","24.75","24.75","21","21","21","21","21","21","3","3","3","22.5","22.5","22.5","20.25","20.25","20.25","21.75","21.75","21.75","21.75","21.75","21.75","13.8","13.8","13.8","18.6","18.6","18.6","7.05","7.05","7.05","23.25","23.25","23.25","24.75","24.75","24.75","24","24","24","22.2","22.2","22.2","20.4","20.4","20.4","17.4","17.4","17.4","20.25","20.25","20.25","20.25","20.25","20.25","15.15","15.15","15.15","7.8","7.8","7.8","7.65","7.65","7.65","13.2","13.2","13.2","20.25","20.25","20.25"
"14","19.2","19.2","19.2","20.1","20.1","20.1","23.1","23.1","23.1","21.6","21.6","21.6","3","3","3","24.3","24.3","24.3","23.55","23.55","23.55","25.5","25.5","25.5","24.75","24.75","24.75","3","3","3","21.75","21.75","21.75","23.25","23.25","23.25","24","24","24","23.25","23.25","23.25","13.35","13.35","13.35","18.6","18.6","18.6","6.9","6.9","6.9","21.75","21.75","21.75","20.25","20.25","20.25","18.15","18.15","18.15","20.25","20.25","20.25","21.75","21.75","21.75","22.8","22.8","22.8","23.7","23.7","23.7","21.75","21.75","21.75","15","15","15","7.35","7.35","7.35","7.5","7.5","7.5","13.35","13.35","13.35","24","24","24"
"16","20.4","20.4","20.4","24","24","24","19.05","19.05","19.05","24","24","24","3","3","3","21","21","21","24","24","24","22.5","22.5","22.5","24","24","24","3","3","3","20.25","20.25","20.25","23.25","23.25","23.25","18","18","18","21","21","21","13.5","13.5","13.5","21.3","21.3","21.3","7.05","7.05","7.05","20.25","20.25","20.25","22.5","22.5","22.5","21.75","21.75","21.75","23.25","23.25","23.25","21.75","21.75","21.75","20.85","20.85","20.85","22.2","22.2","22.2","24","24","24","15","15","15","7.8","7.8","7.8","6.6","6.6","6.6","13.05","13.05","13.05","21","21","21"
"18","21.75","21.75","21.75","23.25","23.25","23.25","20.55","20.55","20.55","21.45","21.45","21.45","3","3","3","21","21","21","21.75","21.75","21.75","19.5","19.5","19.5","23.25","23.25","23.25","3","3","3","24","24","24","20.25","20.25","20.25","21.75","21.75","21.75","21.75","21.75","21.75","13.35","13.35","13.35","19.05","19.05","19.05","7.5","7.5","7.5","22.5","22.5","22.5","23.25","23.25","23.25","20.25","20.25","20.25","22.5","22.5","22.5","22.65","22.65","22.65","22.95","22.95","22.95","21.75","21.75","21.75","22.5","22.5","22.5","15","15","15","7.2","7.2","7.2","7.65","7.65","7.65","13.8","13.8","13.8","20.25","20.25","20.25"
