"Step","happy-sweep-150 - test/rew_mean","happy-sweep-150 - test/rew_mean__MIN","happy-sweep-150 - test/rew_mean__MAX","crisp-sweep-149 - test/rew_mean","crisp-sweep-149 - test/rew_mean__MIN","crisp-sweep-149 - test/rew_mean__MAX","graceful-sweep-148 - test/rew_mean","graceful-sweep-148 - test/rew_mean__MIN","graceful-sweep-148 - test/rew_mean__MAX","expert-sweep-147 - test/rew_mean","expert-sweep-147 - test/rew_mean__MIN","expert-sweep-147 - test/rew_mean__MAX","solar-sweep-146 - test/rew_mean","solar-sweep-146 - test/rew_mean__MIN","solar-sweep-146 - test/rew_mean__MAX","tough-sweep-145 - test/rew_mean","tough-sweep-145 - test/rew_mean__MIN","tough-sweep-145 - test/rew_mean__MAX","azure-sweep-144 - test/rew_mean","azure-sweep-144 - test/rew_mean__MIN","azure-sweep-144 - test/rew_mean__MAX","volcanic-sweep-143 - test/rew_mean","volcanic-sweep-143 - test/rew_mean__MIN","volcanic-sweep-143 - test/rew_mean__MAX","lively-sweep-142 - test/rew_mean","lively-sweep-142 - test/rew_mean__MIN","lively-sweep-142 - test/rew_mean__MAX","wobbly-sweep-141 - test/rew_mean","wobbly-sweep-141 - test/rew_mean__MIN","wobbly-sweep-141 - test/rew_mean__MAX"
"0","0.9","0.9","0.9","1.75","1.75","1.75","1.75","1.75","1.75","1.5","1.5","1.5","1.6","1.6","1.6","2.4","2.4","2.4","2.55","2.55","2.55","2.8","2.8","2.8","1.8","1.8","1.8","2.4","2.4","2.4"
"1","5.8","5.8","5.8","7","7","7","6.15","6.15","6.15","5.3","5.3","5.3","5","5","5","8.45","8.45","8.45","5.05","5.05","5.05","4.45","4.45","4.45","8.25","8.25","8.25","4.15","4.15","4.15"
"2","13.15","13.15","13.15","9.75","9.75","9.75","12.15","12.15","12.15","10.9","10.9","10.9","5.7","5.7","5.7","10.5","10.5","10.5","12.85","12.85","12.85","3.9","3.9","3.9","9.55","9.55","9.55","12.3","12.3","12.3"
"3","14.25","14.25","14.25","11.75","11.75","11.75","15","15","15","9.35","9.35","9.35","9.55","9.55","9.55","10.55","10.55","10.55","10.6","10.6","10.6","3.6","3.6","3.6","13.95","13.95","13.95","14.95","14.95","14.95"
"4","16","16","16","12.85","12.85","12.85","17.65","17.65","17.65","11.2","11.2","11.2","9.6","9.6","9.6","11.1","11.1","11.1","17.6","17.6","17.6","4.3","4.3","4.3","15.55","15.55","15.55","14.85","14.85","14.85"
"5","20","20","20","15.3","15.3","15.3","16.35","16.35","16.35","10.1","10.1","10.1","8.9","8.9","8.9","9.2","9.2","9.2","14.95","14.95","14.95","4.5","4.5","4.5","9.8","9.8","9.8","16.7","16.7","16.7"
"6","20.95","20.95","20.95","14.5","14.5","14.5","18.8","18.8","18.8","11","11","11","10.65","10.65","10.65","8.5","8.5","8.5","20.5","20.5","20.5","4.75","4.75","4.75","8.4","8.4","8.4","18.7","18.7","18.7"
"7","21.05","21.05","21.05","19.25","19.25","19.25","16.8","16.8","16.8","13.5","13.5","13.5","9.9","9.9","9.9","8.55","8.55","8.55","17.7","17.7","17.7","4.15","4.15","4.15","10.75","10.75","10.75","19","19","19"
"8","21.3","21.3","21.3","17.05","17.05","17.05","18.3","18.3","18.3","18.55","18.55","18.55","9.95","9.95","9.95","6.75","6.75","6.75","19.7","19.7","19.7","3.8","3.8","3.8","9.65","9.65","9.65","20.2","20.2","20.2"
"9","17.65","17.65","17.65","21.85","21.85","21.85","15.7","15.7","15.7","16.65","16.65","16.65","9.4","9.4","9.4","14.05","14.05","14.05","13.6","13.6","13.6","3.65","3.65","3.65","11.75","11.75","11.75","18","18","18"
"10","19.5","19.5","19.5","18.15","18.15","18.15","16.2","16.2","16.2","20","20","20","9.35","9.35","9.35","13.65","13.65","13.65","19.55","19.55","19.55","4.4","4.4","4.4","12.8","12.8","12.8","20.8","20.8","20.8"
"11","20.9","20.9","20.9","16.15","16.15","16.15","16.6","16.6","16.6","17.25","17.25","17.25","8.85","8.85","8.85","14.8","14.8","14.8","19.75","19.75","19.75","4","4","4","9.85","9.85","9.85","20.05","20.05","20.05"
"12","17.05","17.05","17.05","18.5","18.5","18.5","17.9","17.9","17.9","16.9","16.9","16.9","9.35","9.35","9.35","13.8","13.8","13.8","19.55","19.55","19.55","3.45","3.45","3.45","9.7","9.7","9.7","18.3","18.3","18.3"
"13","15.8","15.8","15.8","19.95","19.95","19.95","20.85","20.85","20.85","17.9","17.9","17.9","9.95","9.95","9.95","13.6","13.6","13.6","20.9","20.9","20.9","4.25","4.25","4.25","12.65","12.65","12.65","20.4","20.4","20.4"
"14","20.6","20.6","20.6","23.65","23.65","23.65","19.3","19.3","19.3","14.65","14.65","14.65","9.3","9.3","9.3","13.85","13.85","13.85","18","18","18","4.75","4.75","4.75","11.6","11.6","11.6","21","21","21"
