"Step","gallant-sweep-210 - test/rew_mean","gallant-sweep-210 - test/rew_mean__MIN","gallant-sweep-210 - test/rew_mean__MAX","magic-sweep-209 - test/rew_mean","magic-sweep-209 - test/rew_mean__MIN","magic-sweep-209 - test/rew_mean__MAX","amber-sweep-208 - test/rew_mean","amber-sweep-208 - test/rew_mean__MIN","amber-sweep-208 - test/rew_mean__MAX","divine-sweep-207 - test/rew_mean","divine-sweep-207 - test/rew_mean__MIN","divine-sweep-207 - test/rew_mean__MAX","sage-sweep-206 - test/rew_mean","sage-sweep-206 - test/rew_mean__MIN","sage-sweep-206 - test/rew_mean__MAX","robust-sweep-205 - test/rew_mean","robust-sweep-205 - test/rew_mean__MIN","robust-sweep-205 - test/rew_mean__MAX","northern-sweep-204 - test/rew_mean","northern-sweep-204 - test/rew_mean__MIN","northern-sweep-204 - test/rew_mean__MAX","unique-sweep-203 - test/rew_mean","unique-sweep-203 - test/rew_mean__MIN","unique-sweep-203 - test/rew_mean__MAX","volcanic-sweep-202 - test/rew_mean","volcanic-sweep-202 - test/rew_mean__MIN","volcanic-sweep-202 - test/rew_mean__MAX","astral-sweep-201 - test/rew_mean","astral-sweep-201 - test/rew_mean__MIN","astral-sweep-201 - test/rew_mean__MAX"
"0","1.85","1.85","1.85","1.8","1.8","1.8","2.6","2.6","2.6","1.65","1.65","1.65","1.85","1.85","1.85","1.95","1.95","1.95","2.75","2.75","2.75","2.7","2.7","2.7","1.35","1.35","1.35","2.05","2.05","2.05"
"1","2.6","2.6","2.6","2.4","2.4","2.4","1.3","1.3","1.3","2.05","2.05","2.05","2.05","2.05","2.05","4","4","4","1.75","1.75","1.75","3.15","3.15","3.15","2.35","2.35","2.35","2.45","2.45","2.45"
"2","11.15","11.15","11.15","8","8","8","3.55","3.55","3.55","9.4","9.4","9.4","9","9","9","7.4","7.4","7.4","5","5","5","9.75","9.75","9.75","10.55","10.55","10.55","4.65","4.65","4.65"
"3","15","15","15","11.75","11.75","11.75","11.6","11.6","11.6","13.05","13.05","13.05","14","14","14","13.2","13.2","13.2","14.05","14.05","14.05","19","19","19","17.4","17.4","17.4","15.3","15.3","15.3"
"4","12.6","12.6","12.6","13.8","13.8","13.8","17.3","17.3","17.3","16.45","16.45","16.45","14.65","14.65","14.65","13.8","13.8","13.8","13.6","13.6","13.6","18.2","18.2","18.2","17.75","17.75","17.75","21.3","21.3","21.3"
"5","14.6","14.6","14.6","19.95","19.95","19.95","20.45","20.45","20.45","13.35","13.35","13.35","16.35","16.35","16.35","13.95","13.95","13.95","13.65","13.65","13.65","20.7","20.7","20.7","19.05","19.05","19.05","18.6","18.6","18.6"
"6","18.8","18.8","18.8","20.3","20.3","20.3","17.8","17.8","17.8","16.3","16.3","16.3","17.8","17.8","17.8","19.4","19.4","19.4","11.1","11.1","11.1","19.45","19.45","19.45","14.95","14.95","14.95","20.5","20.5","20.5"
"7","17.7","17.7","17.7","19.8","19.8","19.8","21.25","21.25","21.25","19.15","19.15","19.15","19.35","19.35","19.35","13.5","13.5","13.5","10.9","10.9","10.9","20.5","20.5","20.5","15.95","15.95","15.95","20.85","20.85","20.85"
"8","17","17","17","17.65","17.65","17.65","19.4","19.4","19.4","21.65","21.65","21.65","18.55","18.55","18.55","16.85","16.85","16.85","12.9","12.9","12.9","19.35","19.35","19.35","16.7","16.7","16.7","19.8","19.8","19.8"
"9","18.4","18.4","18.4","20.6","20.6","20.6","21.55","21.55","21.55","18.8","18.8","18.8","22.15","22.15","22.15","15.55","15.55","15.55","10.45","10.45","10.45","16.6","16.6","16.6","12.3","12.3","12.3","21.5","21.5","21.5"
"10","17.7","17.7","17.7","19.05","19.05","19.05","18.7","18.7","18.7","16.35","16.35","16.35","23.75","23.75","23.75","16.55","16.55","16.55","20.35","20.35","20.35","18.25","18.25","18.25","12.9","12.9","12.9","21.05","21.05","21.05"
"11","20.7","20.7","20.7","18.4","18.4","18.4","15.4","15.4","15.4","18.65","18.65","18.65","17.05","17.05","17.05","17.6","17.6","17.6","14.45","14.45","14.45","18.25","18.25","18.25","16.05","16.05","16.05","19.8","19.8","19.8"
"12","19.1","19.1","19.1","17.95","17.95","17.95","20.35","20.35","20.35","21.55","21.55","21.55","19.95","19.95","19.95","17.4","17.4","17.4","19.6","19.6","19.6","19.2","19.2","19.2","20.65","20.65","20.65","19.55","19.55","19.55"
"13","21.15","21.15","21.15","16.75","16.75","16.75","18.35","18.35","18.35","21.15","21.15","21.15","20.8","20.8","20.8","16.05","16.05","16.05","15.15","15.15","15.15","19.85","19.85","19.85","14.6","14.6","14.6","16.65","16.65","16.65"
"14","21.2","21.2","21.2","22.65","22.65","22.65","22.35","22.35","22.35","21.4","21.4","21.4","19.65","19.65","19.65","19.35","19.35","19.35","16.8","16.8","16.8","23.75","23.75","23.75","16.2","16.2","16.2","19.7","19.7","19.7"
"15","17.75","17.75","17.75","17.8","17.8","17.8","21.35","21.35","21.35","21.75","21.75","21.75","17.5","17.5","17.5","17.15","17.15","17.15","17.15","17.15","17.15","22.9","22.9","22.9","19.55","19.55","19.55","22.15","22.15","22.15"
"16","19.55","19.55","19.55","18.55","18.55","18.55","19.8","19.8","19.8","20.65","20.65","20.65","17.5","17.5","17.5","18.45","18.45","18.45","15.2","15.2","15.2","20.4","20.4","20.4","16.85","16.85","16.85","19.55","19.55","19.55"
"17","14.95","14.95","14.95","14.15","14.15","14.15","21.3","21.3","21.3","19.2","19.2","19.2","23.85","23.85","23.85","19.25","19.25","19.25","12.95","12.95","12.95","19","19","19","11.85","11.85","11.85","20.95","20.95","20.95"
"18","20.5","20.5","20.5","18","18","18","19.5","19.5","19.5","20.7","20.7","20.7","22.7","22.7","22.7","18.1","18.1","18.1","18.6","18.6","18.6","19.15","19.15","19.15","15.95","15.95","15.95","16.5","16.5","16.5"
"19","19.3","19.3","19.3","19.1","19.1","19.1","21.15","21.15","21.15","19.45","19.45","19.45","22.1","22.1","22.1","19.05","19.05","19.05","14.8","14.8","14.8","23.65","23.65","23.65","20","20","20","17.9","17.9","17.9"
"20","21.4","21.4","21.4","18.9","18.9","18.9","19.5","19.5","19.5","22.4","22.4","22.4","18.85","18.85","18.85","20","20","20","16.35","16.35","16.35","24.85","24.85","24.85","14.9","14.9","14.9","16.25","16.25","16.25"
