"Step","fancy-sweep-130 - test/rew_mean","fancy-sweep-130 - test/rew_mean__MIN","fancy-sweep-130 - test/rew_mean__MAX","scarlet-sweep-129 - test/rew_mean","scarlet-sweep-129 - test/rew_mean__MIN","scarlet-sweep-129 - test/rew_mean__MAX","fallen-sweep-128 - test/rew_mean","fallen-sweep-128 - test/rew_mean__MIN","fallen-sweep-128 - test/rew_mean__MAX","vital-sweep-127 - test/rew_mean","vital-sweep-127 - test/rew_mean__MIN","vital-sweep-127 - test/rew_mean__MAX","radiant-sweep-126 - test/rew_mean","radiant-sweep-126 - test/rew_mean__MIN","radiant-sweep-126 - test/rew_mean__MAX","scarlet-sweep-125 - test/rew_mean","scarlet-sweep-125 - test/rew_mean__MIN","scarlet-sweep-125 - test/rew_mean__MAX","autumn-sweep-124 - test/rew_mean","autumn-sweep-124 - test/rew_mean__MIN","autumn-sweep-124 - test/rew_mean__MAX","crisp-sweep-123 - test/rew_mean","crisp-sweep-123 - test/rew_mean__MIN","crisp-sweep-123 - test/rew_mean__MAX","peachy-sweep-122 - test/rew_mean","peachy-sweep-122 - test/rew_mean__MIN","peachy-sweep-122 - test/rew_mean__MAX","effortless-sweep-121 - test/rew_mean","effortless-sweep-121 - test/rew_mean__MIN","effortless-sweep-121 - test/rew_mean__MAX"
"0","1.85","1.85","1.85","1.8","1.8","1.8","2.6","2.6","2.6","2.6","2.6","2.6","1.8","1.8","1.8","2.25","2.25","2.25","2.5","2.5","2.5","2.5","2.5","2.5","1.55","1.55","1.55","2.25","2.25","2.25"
"1","8.5","8.5","8.5","10.05","10.05","10.05","4.65","4.65","4.65","10.15","10.15","10.15","7.6","7.6","7.6","8.7","8.7","8.7","6.15","6.15","6.15","7.8","7.8","7.8","9.3","9.3","9.3","5.1","5.1","5.1"
"2","12.6","12.6","12.6","16.9","16.9","16.9","8.1","8.1","8.1","12.9","12.9","12.9","15.8","15.8","15.8","10.65","10.65","10.65","6.75","6.75","6.75","8.1","8.1","8.1","13.35","13.35","13.35","12.3","12.3","12.3"
"3","14.25","14.25","14.25","21.15","21.15","21.15","10.85","10.85","10.85","18.45","18.45","18.45","17.25","17.25","17.25","12.45","12.45","12.45","7.8","7.8","7.8","7.35","7.35","7.35","13.95","13.95","13.95","13.95","13.95","13.95"
"4","14.7","14.7","14.7","20.4","20.4","20.4","16.95","16.95","16.95","18.75","18.75","18.75","23.25","23.25","23.25","15","15","15","7.5","7.5","7.5","7.05","7.05","7.05","13.95","13.95","13.95","22.8","22.8","22.8"
"5","21","21","21","22.95","22.95","22.95","17.85","17.85","17.85","20.1","20.1","20.1","25.5","25.5","25.5","15","15","15","7.8","7.8","7.8","7.2","7.2","7.2","13.8","13.8","13.8","23.25","23.25","23.25"
"6","22.2","22.2","22.2","20.4","20.4","20.4","17.4","17.4","17.4","20.25","20.25","20.25","20.25","20.25","20.25","15.15","15.15","15.15","7.8","7.8","7.8","7.65","7.65","7.65","13.2","13.2","13.2","20.25","20.25","20.25"
"7","20.25","20.25","20.25","21.75","21.75","21.75","22.8","22.8","22.8","23.7","23.7","23.7","21.75","21.75","21.75","15","15","15","7.35","7.35","7.35","7.5","7.5","7.5","13.35","13.35","13.35","24","24","24"
"8","23.25","23.25","23.25","21.75","21.75","21.75","20.85","20.85","20.85","22.2","22.2","22.2","24","24","24","15","15","15","7.8","7.8","7.8","6.6","6.6","6.6","13.05","13.05","13.05","21","21","21"
"9","22.5","22.5","22.5","22.65","22.65","22.65","22.95","22.95","22.95","21.75","21.75","21.75","22.5","22.5","22.5","15","15","15","7.2","7.2","7.2","7.65","7.65","7.65","13.8","13.8","13.8","20.25","20.25","20.25"
"10","24","24","24","21","21","21","21.25","21.25","21.25","21.75","21.75","21.75","20.25","20.25","20.25","15","15","15","7.05","7.05","7.05","7.2","7.2","7.2","13.65","13.65","13.65","21","21","21"
"11","21.75","21.75","21.75","22.5","22.5","22.5","20.7","20.7","20.7","18.15","18.15","18.15","24.75","24.75","24.75","15","15","15","7.8","7.8","7.8","7.35","7.35","7.35","13.35","13.35","13.35","23.25","23.25","23.25"
"12","24","24","24","25.5","25.5","25.5","21.4","21.4","21.4","21.75","21.75","21.75","24.75","24.75","24.75","15","15","15","7.35","7.35","7.35","7.2","7.2","7.2","13.5","13.5","13.5","21.75","21.75","21.75"
"13","22.5","22.5","22.5","20.25","20.25","20.25","21.45","21.45","21.45","22.5","22.5","22.5","21.75","21.75","21.75","15","15","15","7.8","7.8","7.8","7.35","7.35","7.35","13.65","13.65","13.65","20.25","20.25","20.25"
"14","23.25","23.25","23.25","20.25","20.25","20.25","21.15","21.15","21.15","21.75","21.75","21.75","22.5","22.5","22.5","15","15","15","7.35","7.35","7.35","7.35","7.35","7.35","13.2","13.2","13.2","22.5","22.5","22.5"
"15","24.75","24.75","24.75","22.5","22.5","22.5","21.45","21.45","21.45","23.25","23.25","23.25","20.25","20.25","20.25","15","15","15","6.6","6.6","6.6","7.65","7.65","7.65","13.35","13.35","13.35","24","24","24"
"16","20.25","20.25","20.25","23.25","23.25","23.25","23.55","23.55","23.55","22.5","22.5","22.5","22.5","22.5","22.5","15","15","15","7.65","7.65","7.65","7.05","7.05","7.05","13.95","13.95","13.95","24.75","24.75","24.75"
"17","20.25","20.25","20.25","21.15","21.15","21.15","24.45","24.45","24.45","21.75","21.75","21.75","21.75","21.75","21.75","15","15","15","7.35","7.35","7.35","6.9","6.9","6.9","13.5","13.5","13.5","24.75","24.75","24.75"
"18","21.75","21.75","21.75","22.5","22.5","22.5","18.3","18.3","18.3","20.25","20.25","20.25","21.75","21.75","21.75","15","15","15","7.05","7.05","7.05","7.35","7.35","7.35","14.4","14.4","14.4","24.75","24.75","24.75"
"19","21","21","21","23.25","23.25","23.25","19.65","19.65","19.65","21.75","21.75","21.75","24","24","24","15","15","15","7.65","7.65","7.65","7.5","7.5","7.5","13.8","13.8","13.8","20.25","20.25","20.25"
"20","24","24","24","22.5","22.5","22.5","19.05","19.05","19.05","22.5","22.5","22.5","23.25","23.25","23.25","15","15","15","7.05","7.05","7.05","7.95","7.95","7.95","13.5","13.5","13.5","22.5","22.5","22.5"
