"Step","pretty-sweep-70 - test/rew_mean","pretty-sweep-70 - test/rew_mean__MIN","pretty-sweep-70 - test/rew_mean__MAX","mild-sweep-69 - test/rew_mean","mild-sweep-69 - test/rew_mean__MIN","mild-sweep-69 - test/rew_mean__MAX","comic-sweep-68 - test/rew_mean","comic-sweep-68 - test/rew_mean__MIN","comic-sweep-68 - test/rew_mean__MAX","stellar-sweep-67 - test/rew_mean","stellar-sweep-67 - test/rew_mean__MIN","stellar-sweep-67 - test/rew_mean__MAX","sweet-sweep-66 - test/rew_mean","sweet-sweep-66 - test/rew_mean__MIN","sweet-sweep-66 - test/rew_mean__MAX","lucky-sweep-65 - test/rew_mean","lucky-sweep-65 - test/rew_mean__MIN","lucky-sweep-65 - test/rew_mean__MAX","effortless-sweep-64 - test/rew_mean","effortless-sweep-64 - test/rew_mean__MIN","effortless-sweep-64 - test/rew_mean__MAX","morning-sweep-63 - test/rew_mean","morning-sweep-63 - test/rew_mean__MIN","morning-sweep-63 - test/rew_mean__MAX","worldly-sweep-62 - test/rew_mean","worldly-sweep-62 - test/rew_mean__MIN","worldly-sweep-62 - test/rew_mean__MAX","smooth-sweep-61 - test/rew_mean","smooth-sweep-61 - test/rew_mean__MIN","smooth-sweep-61 - test/rew_mean__MAX"
"0","10.5","10.5","10.5","10.2","10.2","10.2","10.8","10.8","10.8","10.8","10.8","10.8","10.35","10.35","10.35","10.35","10.35","10.35","10.35","10.35","10.35","11.1","11.1","11.1","10.65","10.65","10.65","11.1","11.1","11.1"
"1","11.7","11.7","11.7","10.8","10.8","10.8","12.45","12.45","12.45","10.8","10.8","10.8","10.65","10.65","10.65","10.2","10.2","10.2","13.8","13.8","13.8","10.95","10.95","10.95","10.5","10.5","10.5","11.25","11.25","11.25"
"2","10.95","10.95","10.95","15.75","15.75","15.75","16.35","16.35","16.35","10.5","10.5","10.5","11.1","11.1","11.1","10.05","10.05","10.05","18.6","18.6","18.6","14.25","14.25","14.25","14.1","14.1","14.1","10.8","10.8","10.8"
"3","13.05","13.05","13.05","17.25","17.25","17.25","16.8","16.8","16.8","11.25","11.25","11.25","9.75","9.75","9.75","10.35","10.35","10.35","19.8","19.8","19.8","16.35","16.35","16.35","17.85","17.85","17.85","10.05","10.05","10.05"
"4","16.05","16.05","16.05","16.5","16.5","16.5","16.5","16.5","16.5","10.8","10.8","10.8","10.95","10.95","10.95","10.8","10.8","10.8","19.5","19.5","19.5","16.5","16.5","16.5","20.4","20.4","20.4","10.65","10.65","10.65"
"5","17.4","17.4","17.4","16.65","16.65","16.65","16.05","16.05","16.05","14.4","14.4","14.4","11.1","11.1","11.1","10.5","10.5","10.5","19.8","19.8","19.8","16.95","16.95","16.95","19.05","19.05","19.05","10.65","10.65","10.65"
"6","20.25","20.25","20.25","17.1","17.1","17.1","15.9","15.9","15.9","18.75","18.75","18.75","10.65","10.65","10.65","10.05","10.05","10.05","19.8","19.8","19.8","19.95","19.95","19.95","18.6","18.6","18.6","10.05","10.05","10.05"
"7","19.5","19.5","19.5","16.65","16.65","16.65","16.8","16.8","16.8","19.95","19.95","19.95","10.35","10.35","10.35","10.95","10.95","10.95","19.35","19.35","19.35","21.15","21.15","21.15","18.6","18.6","18.6","10.8","10.8","10.8"
"8","22.8","22.8","22.8","16.5","16.5","16.5","16.65","16.65","16.65","18.6","18.6","18.6","10.8","10.8","10.8","11.1","11.1","11.1","19.8","19.8","19.8","18","18","18","18.6","18.6","18.6","10.2","10.2","10.2"
"9","21","21","21","16.2","16.2","16.2","17.1","17.1","17.1","19.5","19.5","19.5","10.5","10.5","10.5","10.95","10.95","10.95","19.2","19.2","19.2","22.8","22.8","22.8","20.4","20.4","20.4","10.05","10.05","10.05"
"10","22.5","22.5","22.5","16.65","16.65","16.65","16.2","16.2","16.2","19.05","19.05","19.05","10.05","10.05","10.05","10.8","10.8","10.8","19.05","19.05","19.05","20.7","20.7","20.7","19.95","19.95","19.95","10.2","10.2","10.2"
"11","23.25","23.25","23.25","16.95","16.95","16.95","17.1","17.1","17.1","17.4","17.4","17.4","10.95","10.95","10.95","10.05","10.05","10.05","19.8","19.8","19.8","21.75","21.75","21.75","19.05","19.05","19.05","10.65","10.65","10.65"
"12","21.75","21.75","21.75","16.2","16.2","16.2","16.35","16.35","16.35","19.2","19.2","19.2","10.95","10.95","10.95","11.25","11.25","11.25","19.35","19.35","19.35","21","21","21","19.5","19.5","19.5","10.35","10.35","10.35"
"13","19.5","19.5","19.5","16.2","16.2","16.2","16.65","16.65","16.65","19.8","19.8","19.8","10.35","10.35","10.35","10.8","10.8","10.8","19.8","19.8","19.8","21.75","21.75","21.75","19.95","19.95","19.95","10.05","10.05","10.05"
"14","23.25","23.25","23.25","16.65","16.65","16.65","16.35","16.35","16.35","19.2","19.2","19.2","10.5","10.5","10.5","10.2","10.2","10.2","19.35","19.35","19.35","21.75","21.75","21.75","18.6","18.6","18.6","10.5","10.5","10.5"
"15","24.75","24.75","24.75","16.2","16.2","16.2","16.65","16.65","16.65","19.95","19.95","19.95","10.05","10.05","10.05","10.35","10.35","10.35","18.6","18.6","18.6","23.25","23.25","23.25","19.05","19.05","19.05","10.8","10.8","10.8"
"16","23.25","23.25","23.25","16.8","16.8","16.8","16.95","16.95","16.95","20.1","20.1","20.1","10.5","10.5","10.5","10.35","10.35","10.35","19.65","19.65","19.65","20.25","20.25","20.25","20.85","20.85","20.85","10.95","10.95","10.95"
"17","21","21","21","16.35","16.35","16.35","19.5","19.5","19.5","20.4","20.4","20.4","10.35","10.35","10.35","10.35","10.35","10.35","19.35","19.35","19.35","19.5","19.5","19.5","19.5","19.5","19.5","10.95","10.95","10.95"
"18","24","24","24","18.15","18.15","18.15","16.8","16.8","16.8","19.2","19.2","19.2","10.35","10.35","10.35","9.6","9.6","9.6","19.05","19.05","19.05","21.75","21.75","21.75","21.75","21.75","21.75","10.95","10.95","10.95"
"19","20.25","20.25","20.25","20.4","20.4","20.4","17.1","17.1","17.1","20.4","20.4","20.4","10.8","10.8","10.8","10.35","10.35","10.35","19.65","19.65","19.65","22.5","22.5","22.5","19.5","19.5","19.5","10.05","10.05","10.05"
"20","23.25","23.25","23.25","19.05","19.05","19.05","17.1","17.1","17.1","21","21","21","10.65","10.65","10.65","10.65","10.65","10.65","19.05","19.05","19.05","24.75","24.75","24.75","18.15","18.15","18.15","10.5","10.5","10.5"
