"Step","fanciful-sweep-140 - test/rew_mean","fanciful-sweep-140 - test/rew_mean__MIN","fanciful-sweep-140 - test/rew_mean__MAX","skilled-sweep-139 - test/rew_mean","skilled-sweep-139 - test/rew_mean__MIN","skilled-sweep-139 - test/rew_mean__MAX","lively-sweep-138 - test/rew_mean","lively-sweep-138 - test/rew_mean__MIN","lively-sweep-138 - test/rew_mean__MAX","elated-sweep-137 - test/rew_mean","elated-sweep-137 - test/rew_mean__MIN","elated-sweep-137 - test/rew_mean__MAX","colorful-sweep-136 - test/rew_mean","colorful-sweep-136 - test/rew_mean__MIN","colorful-sweep-136 - test/rew_mean__MAX","dulcet-sweep-135 - test/rew_mean","dulcet-sweep-135 - test/rew_mean__MIN","dulcet-sweep-135 - test/rew_mean__MAX","stilted-sweep-134 - test/rew_mean","stilted-sweep-134 - test/rew_mean__MIN","stilted-sweep-134 - test/rew_mean__MAX","major-sweep-133 - test/rew_mean","major-sweep-133 - test/rew_mean__MIN","major-sweep-133 - test/rew_mean__MAX","easy-sweep-132 - test/rew_mean","easy-sweep-132 - test/rew_mean__MIN","easy-sweep-132 - test/rew_mean__MAX","dandy-sweep-131 - test/rew_mean","dandy-sweep-131 - test/rew_mean__MIN","dandy-sweep-131 - test/rew_mean__MAX"
"0","1.75","1.75","1.75","1.85","1.85","1.85","2.95","2.95","2.95","1.5","1.5","1.5","2.05","2.05","2.05","2.85","2.85","2.85","1.8","1.8","1.8","3.55","3.55","3.55","1.05","1.05","1.05","2.15","2.15","2.15"
"1","3.2","3.2","3.2","3.6","3.6","3.6","2.65","2.65","2.65","2.3","2.3","2.3","3.4","3.4","3.4","3.3","3.3","3.3","3","3","3","2.65","2.65","2.65","5.05","5.05","5.05","2.65","2.65","2.65"
"2","6.65","6.65","6.65","3.6","3.6","3.6","3.9","3.9","3.9","5.1","5.1","5.1","2.65","2.65","2.65","3.55","3.55","3.55","0.95","0.95","0.95","0.6","0.6","0.6","9.9","9.9","9.9","3.2","3.2","3.2"
"3","7.75","7.75","7.75","7.35","7.35","7.35","3.8","3.8","3.8","5.85","5.85","5.85","8.25","8.25","8.25","2.9","2.9","2.9","7.15","7.15","7.15","0","0","0","10.8","10.8","10.8","6.55","6.55","6.55"
"4","8.4","8.4","8.4","7.55","7.55","7.55","3.6","3.6","3.6","10.45","10.45","10.45","5.7","5.7","5.7","1.75","1.75","1.75","8.75","8.75","8.75","0.4","0.4","0.4","8.6","8.6","8.6","6.6","6.6","6.6"
"5","6.75","6.75","6.75","7.65","7.65","7.65","3.9","3.9","3.9","6.7","6.7","6.7","8.6","8.6","8.6","2.55","2.55","2.55","10.9","10.9","10.9","0.5","0.5","0.5","9.25","9.25","9.25","6.85","6.85","6.85"
"6","7.1","7.1","7.1","9.45","9.45","9.45","7.05","7.05","7.05","9.45","9.45","9.45","5.1","5.1","5.1","2.35","2.35","2.35","14.35","14.35","14.35","0.5","0.5","0.5","10.7","10.7","10.7","7.55","7.55","7.55"
"7","7.35","7.35","7.35","7.95","7.95","7.95","4.45","4.45","4.45","8.8","8.8","8.8","6.9","6.9","6.9","3.65","3.65","3.65","10.5","10.5","10.5","0","0","0","8.35","8.35","8.35","6.8","6.8","6.8"
"8","8","8","8","8.45","8.45","8.45","5.6","5.6","5.6","9.95","9.95","9.95","7.2","7.2","7.2","2.6","2.6","2.6","13.55","13.55","13.55","0","0","0","8.85","8.85","8.85","7.85","7.85","7.85"
"9","9.45","9.45","9.45","9.15","9.15","9.15","4.05","4.05","4.05","8.8","8.8","8.8","10.85","10.85","10.85","3.35","3.35","3.35","8.2","8.2","8.2","0.3","0.3","0.3","7.35","7.35","7.35","6.8","6.8","6.8"
